original_sentence,mistralai-Mistral-7B-Instruct-v0.2
"Mel is three years younger than Katherine.  When Katherine is two dozen years old, how old will Mel be in years?","Mel is three years younger than Katherine.  When Katherine is two dozen years old, how old will Mel be in years?

To solve the problem, first determine Katherine's age in years when she is two dozen (24) and then subtract Mel's age difference to find Mel's age.

1. Katherine's age = 24 years + Mel's age difference
2. Mel's age = Katherine's age - Age difference

Given: Katherine is three years younger than Mel, so Mel's age difference is 3 years.

Substitute the known value into the equation:

1. Katherine's age = 24 + 3 = 27 years
2. Mel's age = 27 - 3 = 24 years

So, when Katherine is 24 years old, Mel will be 24 years old as well, but Mel is currently three years older, so Mel's age at that time would be 27 years."
A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?,"A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?

To find the weekly sales in kilograms, we first find the number of packets sold per week and their weight in grams. Then we convert the weight to kilograms.

Packets sold per week = 20 packets
Weight of one packet = 100 grams

Total weight of sugar sold per week = Packets sold per week * Weight of one packet
Total weight of sugar sold per week = 20 packets * 100 grams/packet = 2,000 grams

Now we convert the weight from grams to kilograms:

Total weight of sugar sold per week = 2,000 grams
1 kilogram = 1,000 grams

Total weight of sugar sold per week = 2,000 grams / 1,000 grams/kilogram = 2 kilograms

Thus, the store sells 2 kilograms of sugar every week."
"Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?","Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?

To find the age of Herbert next year, we need to know his current age and then add one year. Since Kris is 10 years older than Herbert, we can find Herbert's age by subtracting 10 years from Kris's age:

Herbert's age = Kris's age - 10

Given that Kris is now 24 years old, we can calculate Herbert's age as follows:

Herbert's age = 24 - 10
Herbert's age = 14

So, Herbert is currently 14 years old. To find his age next year, we simply add one year:

Herbert's age next year = Herbert's age + 1
Herbert's age next year = 15

Therefore, Herbert will be 15 years old next year."
"Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?","Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?

To find out how much Susie will have in her piggy bank after putting 20% more money into it, we first need to determine how much money that represents.

To find 20% of Susie's current savings, we can use the following formula:

Percentage of current savings = 0.20
Current savings = $200

Using the formula:
Additional savings = Percentage of current savings * Current savings
                               = 0.20 * $200
                               = 0.20 * $2,000 (since current savings can be considered as $2,000 with a $200 increment)
                               = $400

So, Susie will have an additional $400 in her piggy bank. To find her total amount, we can add this to her current savings:

Total savings = Current savings + Additional savings
                     = $200 + $"
John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year?,"John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year?

Here's how to calculate this:

1. John volunteers for 3 hours at a time.
2. He volunteers twice a month.
3. So, the number of hours he volunteers per month is: 3 hours * 2 times = 6 hours.
4. To find out how many hours he volunteers per year, multiply the number of hours he volunteers per month by 12 (the number of months in a year): 6 hours * 12 months = 72 hours.

So, John volunteers for 72 hours per year."
A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?,"A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?

First, let's find out how many adults there are:

Number of adults = Total members * Percentage of adults
                            = 120 * 0.4
                            = 48

Since the rest are children, we can find the number of children by subtracting the number of adults from the total number of members:

Number of children = Total members - Number of adults
                              = 120 - 48
                              = 72

Now that we know there are 72 children in the church, we can find the difference between the number of children and adults:

Difference = Number of children - Number of adults
                   = 72 - 48
                   = 24

So, there are 24 more children than adults in the church."
Oliver has 10 $20 and 3 $5 bills. William has 15 $10 and 4 $5 bills. How much more money does Oliver have than William?,"Oliver has 10 $20 and 3 $5 bills. William has 15 $10 and 4 $5 bills. How much more money does Oliver have than William?

To find the difference in the amount of money between Oliver and William, we first need to find out how much money each person has in total.

Oliver has:
$10 \cdot 10 = $100 (from the $20 bills)
$5 \cdot 3 = $15 (from the $5 bills)
$100 + $15 = $115

William has:
$10 \cdot 15 = $150 (from the $10 bills)
$5 \cdot 4 = $20 (from the $5 bills)
$150 + $20 = $170

Now we can find the difference in their amounts of money:
$115 (Oliver) - $170 (William) = -$55

However, a negative difference means that William actually has more money than Oliver. So the answer to the question is that William has"
"Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?","Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?

To find the number of stickers Riku has, we need to multiply the number of stickers Kristoff has by 25:

Number of stickers Riku has = Number of stickers Kristoff has * 25
                                          = 85 * 25
                                          = 2125

So, Riku has 2,125 stickers."
"Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?","Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?

To solve the problem, we need to figure out how many legs one emu has and then divide the total number of heads and legs by the number of legs each emu has.

Emus have two legs each. So, one emu has 2 legs. To find the number of emus, we can set up a proportion:

Total number of heads = Number of emus * Heads per emu
60 = x * 2

To find the value of x (the number of emus), we can divide both sides of the equation by 2:

x = 30

So, Farmer Brown has 30 emus in his flock."
"Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have?","Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have?

To find the number of toys Hash has, we can set up a proportion:

Hash : Bill = 9 + (1/2) * Bill : Bill

Let x be the number of toys Hash has:

x : 60 = (9 + 30) / 2 : 60

Now, we can solve for x:

x = (9 + 30) / 2 * 60
x = 45 * 60
x = 2700 / 2
x = 1350

So, Hash has 1350 toys.

Therefore, the total number of toys the boys have is:

Total toys = Bill's toys + Hash's toys
               = 60 + 1350
               = 1410."
The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?,"The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?

To find the new price, we first need to calculate the percentage increase and then apply it to the original price:

Percentage increase = 15%
Original price = $220

New price = Original price + (Original price * Percentage increase / 100)

New price = $220 + ($220 * 15 / 100)

New price = $220 + $33

New price = $253

So, the new price of the bicycle is $253."
"If Stu has 9 books and Albert has 4 times as many books as Stu, how many books do Stu and Albert have in total?","If Stu has 9 books and Albert has 4 times as many books as Stu, how many books do Stu and Albert have in total?

To find the number of books Albert has, we can multiply the number of books Stu has by 4:

Books Albert has = Books Stu has * 4
                 = 9 * 4
                 = 36

Now we can find the total number of books both Stu and Albert have by adding the number of books each has:

Total books = Books Stu has + Books Albert has
            = 9 + 36
            = 45

So Stu and Albert have a total of 45 books."
"Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?","Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?

To find the current age of Patrick, we first need to find out Robert's present age and then subtract half that age from it.

Let's assume Robert's present age is X. We know that he will turn 30 in 2 years, so:

X + 2 = 30
X = 28

Patrick is half the age of Robert, so:

Patrick's age = Robert's age / 2
                      = 28 / 2
                      = 14

Therefore, Patrick is currently 14 years old."
"Eustace is twice as old as Milford. In 3 years, he will be 39. How old will Milford be?","Eustace is twice as old as Milford. In 3 years, he will be 39. How old will Milford be?

To find Milford's age, we first need to determine how old Eustace is now. We're given that in 3 years, Eustace will be 39. Let's call the present age of Milford ""m"". Since Eustace is twice as old as Milford, we know that:

Eustace's present age = Milford's present age + Difference in their ages
                      = m + (Eustace's age - Milford's age)

In 3 years, both Eustace and Milford will be older by 3 years:

Eustace's age in 3 years = 39
Milford's age in 3 years = m + 3

Since their ages differ by a constant value, their ages will also differ by the same constant value in 3 years:

Eustace's age - Milford's age = Eustace's age - Mil"
"Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?","Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?

To find the age of Cori's aunt, we first need to determine how old Cori will be when she is one-third her aunt's age:

Cori's age when she is one-third the age of her aunt = Cori's age × (1/3)

Let X represent the age of Cori's aunt today.

Cori's age when she is one-third the age of her aunt = 3 × (1/3) = 3

Now we can set up an equation:

3 = 3 × (1/3) + X

Solving for X, we get:

X = 3 + 3 = 6

So, Cori's aunt is 6 years older than Cori is today.

Therefore, Cori's aunt is 6 + 3 = 9 years old today."
"The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?","The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?

The side lengths of a triangle must satisfy the Triangle Inequality Theorem, which states that the length of any side of a triangle is less than the sum of the lengths of the other two sides, and greater than the difference between the other two sides.

In this case, we have two sides of length 40 cm and 50 cm. To find the third side, we need to check if the perimeter (sum of all three side lengths) is greater than the sum of any two sides plus the difference between the other two sides.

Perimeter = 160 cm

Let's calculate the minimum possible length of the third side (hypotenuse) while following Triangle Inequality Theorem:

40 cm (one side) + 50 cm (another side) + x (third side) > 160 cm

Solving for x:

x > 160 - (40 + 50)
x > "
Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?,"Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?

To find out how much money the two men earned together, we first need to find out how much money Santo earned. Since he earned half of what Salvadore earned, we can calculate Santo's earnings by finding half of Salvadore's earnings:

Santo's earnings = Half of Salvadore's earnings
= Salvadore's earnings / 2
= $1956 / 2
= $978.30 (rounded to the nearest cent)

Now that we know how much each man earned, we can find their combined earnings by adding their individual earnings:

Total earnings = Salvadore's earnings + Santo's earnings
= $1956 + $978.30
= $2934.30

Therefore, Salvadore and Santo earned a total of $2934.30 together."
James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?,"James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?  The first part of the journey is a quarter of the total distance.

Let's set up an equation:
Let d be the total distance.

First, James drives for half an hour at 30 mph:
distance1 = speed * time
distance1 = 30 mph * (30 minutes * 60 minutes/hour)
distance1 = 30 * 60 * 0.5
distance1 = 7500 feet

Then, James drives twice as long but twice as fast:
Let speed2 be James's faster speed.
distance2 = speed2 * time
distance2 = speed2 * (time * 2)

Since distance1 is a quarter of the total distance:
distance1 = 0.25 * d

We know that distance1 = 7500 feet, so we can set up an equation and solve for d:

7500 = 0.25 *"
"Jessica is six years older than Claire. In two years, Claire will be 20 years old. How old is Jessica now?","Jessica is six years older than Claire. In two years, Claire will be 20 years old. How old is Jessica now?

To find Jessica's current age, we first need to determine her age when Claire was six years younger than her current age. Then, we can find the difference between their ages now and use that to find Jessica's age.

1. When Claire was six years younger than Jessica, Jessica was:
Jessica's age = Claire's age + 6

2. In two years, Claire will be 20 years old. So, her age now is:
Claire's age now = Claire's age + 2

3. Substitute the value of Claire's age at step 1 into the equation for Jessica's age:
Jessica's age = (Claire's age + 2) + 6

4. Simplify the equation:
Jessica's age = Claire's age + 8

5. Subtract the value of Claire's age now from Jessica's age:
Jess"
Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?,"Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?  What is the total number of eggs he bought?

To find out how much Tim paid for the eggs, we need to find the cost of 3 dozens eggs.  We know that a dozen is equal to 12, so 3 dozens is equal to:

3 dozens = 3 x 12 = 36 eggs

We also know that each egg costs $.50, so the cost of 36 eggs is:

Cost = Number of eggs x Cost per egg
Cost = 36 x $.50
Cost = $18

Therefore, Tim paid $18 for 3 dozen eggs, which is equivalent to 36 eggs."
A luxury bag costs $3000. A reseller wants to get a 15% profit. How much should she sell the bag?,"A luxury bag costs $3000. A reseller wants to get a 15% profit. How much should she sell the bag?

To find the selling price, we need to determine the profit and then add it to the cost price.

First, let's calculate the profit:

Profit = Cost price × Profit percentage
Profit = $3000 × 15%
Profit = $3000 × 0.15
Profit = $450

Now, add the profit to the cost price to get the selling price:

Selling price = Cost price + Profit
Selling price = $3000 + $450
Selling price = $3450

So, the reseller should sell the bag for $3450 to make a 15% profit."
A package of candy has 3 servings with 120 calories each.  John eats half the package.  How many calories did he eat?,"A package of candy has 3 servings with 120 calories each.  John eats half the package.  How many calories did he eat?

First, let's find out how many calories are in one serving:
1 serving = 120 calories

Then, since John ate half the package, he ate 1.5 servings.  To find out how many calories that is, multiply the number of servings by the number of calories in one serving:

Calories = Servings * Calories per serving
Calories = 1.5 * 120
Calories = 180

So, John ate 180 calories worth of candy."
"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?","Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?

Let's represent the number of apples Diane bought as x. Since Diane bought 20 more apples than Cecile, we know that:

x = Cecile's apples + 20

Given that Cecile bought 15 apples, we can substitute this value into the equation:

x = 15 + 20
x = 35

So, Diane bought 35 apples, and since Cecile bought 15 apples, they bought a total of 35 + 15 = 50 apples."
"In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now?","In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now? Let's denote my age as x, and my brother's age as y. We want to find x now, but we know that in 10 years, x will be twice y, and their sum will be 45. So we have two equations:

1) x = y + a (current ages)
2) x = 2y + b (ages in 10 years)

Solving this system of equations, we can find that x = 15 and y = 5. So I am 15 years old now, and my brother is 5 years old.

Therefore, I am 10 years older than my brother."
Ivan has 20 dice. Jerry has twice as many dice as Ivan. How many dice do they have altogether?,"Ivan has 20 dice. Jerry has twice as many dice as Ivan. How many dice do they have altogether?

First, we'll find out how many dice Jerry has. We know that Jerry has twice as many dice as Ivan, so:

Jerry's dice = Ivan's dice * 2

We're given that Ivan has 20 dice, so:

Jerry's dice = 20 * 2 = 40 dice

Now, to find the total number of dice they both have, we simply add their quantities:

Total dice = Ivan's dice + Jerry's dice

Total dice = 20 + 40 = 60 dice.

So, Ivan and Jerry have a total of 60 dice."
Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?,"Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?

Let's figure this out:

1. We know that Zhang is twice as old as Li, and Li is 12 years old. So, Zhang's age is 12 * 2 = 24 years old.
2. We also know that Jung is 2 years older than Zhang. So, Jung's age is 24 + 2 = 26 years old.

Therefore, Jung is 26 years old."
"A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?","A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?

To find the cost of a table and 4 chairs, we first need to find the cost of one chair and then multiply it by the number of chairs and the cost of the table.

We know that a chair costs 1/7 of the cost of a table. So, the cost of one chair is:

Cost of one chair = Cost of table * (1/7)
                            = $140 * (1/7)
                            = $20

Now that we know the cost of one chair, we can find the cost of 4 chairs:

Cost of 4 chairs = Cost of one chair * Number of chairs
                          = $20 * 4
                          = $80

Finally, we can find the cost of a table and 4 chairs by adding the cost of the table and the cost of the 4 chairs:

Cost of table and 4 chairs = Cost of table + Cost of 4 chairs
                "
Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be?,"Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be?

To find Tony's age in the future, subtract his current age from the future age:

Tony's age in 6 years = Tony's current age + 6

First, determine Tony's current age. Since he is half Jacob's age, and Jacob is 24, we can find Tony's age:

Tony's age = Jacob's age / 2
            = 24 / 2
            = 12

Now, we can calculate Tony's age in 6 years:

Tony's age in 6 years = Tony's age + 6
                      = 12 + 6
                      = 18

So, in 6 years, Tony will be 18 years old."
"The city’s bus system carries 1,200,000 people each day. How many people does the bus system carry for 13 weeks?","The city’s bus system carries 1,200,000 people each day. How many people does the bus system carry for 13 weeks?

To find the number of people the bus system carries in 13 weeks, first determine how many people use the bus system in one day, and then multiply that number by the number of days in 13 weeks.

We know that:
1 day = 1,200,000 passengers

To find the number of passengers in 13 weeks, first find the number of days in 13 weeks:

We know that:
1 week = 7 days

So,
13 weeks = 13 \* 7 = 91 days

Now, multiply the number of passengers per day by the number of days in 13 weeks:

Total passengers in 13 weeks = Passengers per day * Number of days
                                            = 1,200,000 passengers/day * 91 days

Calculate the product:

Total passengers in 13 weeks = 1,20"
"Zig wrote four times as many books as Flo. If Zig wrote 60 books, how many books did they write altogether?","Zig wrote four times as many books as Flo. If Zig wrote 60 books, how many books did they write altogether?

To find out how many books Flo wrote, we can set up a proportion:

Zig's books : Flo's books = 4 : 1
60 (Zig's books) : x (Flo's books)

Solving for x, we get:

x = 60 * (1 / 5) = 12

So Flo wrote 12 books. To find the total number of books they both wrote, we add their numbers:

Total books = Zig's books + Flo's books = 60 + 12 = 72

So Zig and Flo wrote a total of 72 books."
"There are 30 different nuts in a bowl. If 5/6 of the nuts were eaten, how many nuts were left?","There are 30 different nuts in a bowl. If 5/6 of the nuts were eaten, how many nuts were left?

To find the number of nuts that were left after eating 5/6 of them, we first need to determine how many nuts were eaten. We know that 5/6 of the nuts were eaten, so:

Number of nuts eaten = Total number of nuts * Percentage eaten
                                  = 30 * (5/6)
                                  = 15 * 5/6
                                  = 25

So, 25 nuts were eaten. Therefore, the number of nuts left is:

Number of nuts left = Total number of nuts - Number of nuts eaten
                               = 30 - 25
                               = 5

Therefore, there were 5 nuts left in the bowl."
"Jackson has 5 times more money than Williams. Together, they have $150. How much money, in dollars, does Jackson have?","Jackson has 5 times more money than Williams. Together, they have $150. How much money, in dollars, does Jackson have?

Let's use ""J"" to represent the amount of money Jackson has and ""W"" to represent the amount of money Williams has. We're given the relationship J > W and J + W = $150.

Since Jackson has 5 times more money than Williams, we can write J = 5W. Now, we can substitute this relationship into the given equation:

5W + W = $150

Multiplying both sides by 1 to ensure all terms are in the same unit, we have:

6W = $150

Now, we need to find the value of W. To do this, we'll divide both sides of the equation by 6:

W = $150 / 6 ≈ $25

Now that we know Williams has approximately $25, we can find the amount of money Jackson has using the relationship J = 5W:

J = 5 * $25 = $"
Bart buys $10 of notepads for $1.25 each.  They have 60 pages each.  How many pages did he buy?,"Bart buys $10 of notepads for $1.25 each.  They have 60 pages each.  How many pages did he buy?

Let's first calculate how many notepads Bart bought with $10:

$10 / $1.25 = 8.15 ≈ 8 notepads

Now, we can find the total number of pages Bart bought by multiplying the number of notepads by the number of pages in each notepad:

8 notepads * 60 pages/notepad = 480 pages

So, Bart bought enough notepads for 480 pages."
Trent caught 180 tadpoles then let 75% of them go. How many did he keep?,"Trent caught 180 tadpoles then let 75% of them go. How many did he keep?

Let's find out how many tadpoles Trent kept:

1. We know that Trent caught 180 tadpoles.
2. He then let 75% of them go.
3. To find out how many tadpoles he let go, we calculate 75% of 180:
   Tadpoles let go = Total tadpoles * Percentage let go
   = 180 * 0.75
   = 135
4. Now, to find out how many tadpoles he kept, we subtract the number of tadpoles he let go from the total number of tadpoles:
   Tadpoles kept = Total tadpoles - Tadpoles let go
   = 180 - 135
   = 45

Trent kept 45 tadpoles."
"Edric's monthly salary is $576. If he works 8 hours a day for 6 days a week, how much is his hourly rate?","Edric's monthly salary is $576. If he works 8 hours a day for 6 days a week, how much is his hourly rate?

To find Edric's hourly rate, we first need to determine how many hours he works per week and then divide his weekly wage by the number of hours worked.

First, calculate the number of hours worked per week:
Hours per week = Hours per day * Days per week
                     = 8 hours * 6 days
                     = 48 hours

Next, calculate Edric's weekly wage:
Weekly wage = Monthly salary / Months per year
                 = $576 / 12
                 = $48.08333333333333 per week

Finally, divide the weekly wage by the number of hours worked per week to find Edric's hourly rate:
Hourly rate = Weekly wage / Hours per week
                 = $48.08333333333333 / 48 hours
                 = $1."
"On a 16 GB (gigabyte) capacity USB drive, 50% is already busy. Calculate the number of gigabytes still available.","On a 16 GB (gigabyte) capacity USB drive, 50% is already busy. Calculate the number of gigabytes still available.

To calculate the number of gigabytes still available on a 16 GB USB drive with 50% capacity used, you can follow these steps:

1. Determine the amount of used space. Since 50% of the capacity is used, you can calculate it as follows:
   Used space = Total capacity * Percentage used
   = 16 GB * 0.5
   = 8 GB

2. Subtract the used space from the total capacity to find the available space:
   Available space = Total capacity - Used space
   = 16 GB - 8 GB
   = 8 GB

3. Convert the available space from bytes to gigabytes:
   Available space = Available space / (1024^2)
   = 8,192,000,000 bytes / (1024^2)
   = 8.03 GB

Therefore, there are approximately"
Kim buys 3 pizzas.  They are 12 slices each.  The pizza cost $72.  How much did 5 slices cost?,"Kim buys 3 pizzas.  They are 12 slices each.  The pizza cost $72.  How much did 5 slices cost? The first thing we need to find is the price of one pizza. We know that there are 12 slices in one pizza and that Kim bought 3 pizzas, so there are a total of 36 slices (12 slices/pizza x 3 pizzas). We also know that Kim paid $72 for all 36 slices. To find the price of one pizza, we can divide the total cost by the number of slices: $72 ÷ 36 = $2. Therefore, each pizza costs $2. To find the cost of 5 slices, we need to determine how many pizzas contain 5 slices and then multiply the number of pizzas by the price of one pizza. Since there are 12 slices in one pizza, we need to find how many pizzas have 5 slices: 12 slices/pizza ÷ 5 slices/pizza = 2.4 ≈ 3"
