original_sentence,gpt2-xl
"Mel is three years younger than Katherine.  When Katherine is two dozen years old, how old will Mel be in years?","Mel is three years younger than Katherine.  When Katherine is two dozen years old, how old will Mel be in years?  And how old is he now, and have his parents been dead for as long as he has been alive? 

How much of Mel's history is written in the books? 

What is the real story behind the death of Mel's father?

What does Mel think of the fact that his mother, who is still alive, is named ""Melinda"" and not ""Melinda Barlow""?

What was the name of Mel's uncle? Did he ever have a daughter?

What about Mel's brother, George? 

What is the real story behind Mel's uncle George's disappearance?

What does Mel think of his father's attempt to kill him when he was a little boy?

What was the name of Mel's cousin, Richard?

What was the name of Mel's uncle, Richard?

What is the name of Mel's cousin, Richard's wife?

What is the name of Mel's favorite aunt, Margaret?

What is the name of Mel's favorite uncle, Richard?

"
A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?,"A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?

The answer is 4,500 kilograms, or about 15,000 metric tons. That's a lot of sugar!

The store sells 20 packets of sugar every week. How much sugar is in those packets?

The answer is 80 kilograms of sugar.

That's a lot of sugar!

In the above example, we saw that the store sells only 10 packets of sugar per week (10 packets = 100 grams). If each packet of sugar sold for 6 cents, then the store would sell about 80 kilograms of sugar every week. If the store sold that many packets of sugar every week, it would be selling a lot of sugar!

And that's exactly what the store is doing since it sells 20 packets of sugar every week.

So, what does that mean? This means that the store is selling a lot of sugar every week.

So how much sugar is the store selling?

The store sells 80 kilograms of sugar per week. How much sugar is that in metric tons?

The answer is about 10,000 metric tons"
"Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?","Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?

Somewhere around 24 years old.

For the record, I'm 27. I'm not a 26-year-old who has just come out of college.

Do you think the Heat will use Derrick Williams more?

I don't think so. I think they'll use Williams more when he's not playing his best basketball. That's when he's in his rhythm. He's probably the Heat's best defensive player. He plays hard. He's a good rebounder. He can shoot the ball, and he's a good passer. I'm not sure he's a true four, but I think he's a good one.

What do you think about Justise Winslow's development?

I think he's going to be a really good player. I love his attitude. He's a winner. I love his passion. He's going to be a good player for a long time.

Do you think the Heat have enough talent to make the playoffs next year?

I believe so. I think their talent level is better"
"Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?","Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?

The answer is $300.

In this example, we can see that if we put money into the piggy bank, it will rise in value. If we put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in value.

If you put money into the bank, it will rise in"
John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year?,"John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year?

John is a full-time volunteer who works 3 hours per month at a local shelter. He has a job that keeps him busy and he volunteers at the shelter for only 3 hours a month. He has a job that keeps him busy, and he volunteers 3 hours a month as a volunteer.

John volunteers at a shelter twice a month for 3 hours at a time. How many hours does he volunteer per year?

John volunteers at a shelter twice a month for 3 hours at a time. How many hours does he volunteer per year?

John volunteers at a shelter twice a month for 3 hours at a time. How many hours does he volunteer per year?

John volunteers at a shelter twice a month for 3 hours at a time. How many hours does he volunteer per year?

John volunteers at a shelter twice a month for 3 hours at a time. How many hours does he volunteer per year?

John volunteers at a shelter twice a month for 3 hours at a time. How many hours does he volunteer per year?

John volunteers at"
A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?,"A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?

You can't know unless you measure.

So we did.

The Church of God in Christ (COGIC) has a membership of 70,000.

To get around this, we've used the Church of God (COGIC) as a sample to demonstrate the effect of not counting children in the membership statistics of the Church of God (COGIC). We've also calculated the population of the church as a percentage of the entire membership of the Church of God (COGIC).

How do we do this?

We're using the ""Church Membership Statistics"" found on the ""Statistics"" page of the Church of God (COGIC) website. This is a good source of information for the number of members of the church, but it doesn't include children.

The following chart shows the total number of members in the church divided into the following age groups:

The average age of the member base is 33 years.

The Church of God (COGIC) has a membership of 70,000.
"
Oliver has 10 $20 and 3 $5 bills. William has 15 $10 and 4 $5 bills. How much more money does Oliver have than William?,"Oliver has 10 $20 and 3 $5 bills. William has 15 $10 and 4 $5 bills. How much more money does Oliver have than William?

The answer is: $10 more.

The rules of arithmetic are simple:

When we add two numbers that add to a larger number, it is possible to add them both to make a larger number that adds to the larger number.

When we subtract two numbers that subtract from a larger number, we can subtract both of them from the larger number to make a smaller number that subtracts from the larger number.

When we multiply two numbers that multiply to a larger number, we can multiply them both to make a larger number that divides the larger number.

When we divide two numbers that divide to a larger number, we can divide both of them to make a smaller number that divides the larger number.

When we add two numbers that are both prime, we can add both of them to a larger number that is divisible by the larger number.

When we subtract two numbers that are both prime, we can subtract both of them from a larger number that is divisible by the larger number.

When we multiply two numbers that are both"
"Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?","Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?

""I do not know. It could be a lot,"" said Saito.

The game's developers didn't actually answer that question, but they did confirm that, when you're in battle mode, the game is randomly generated. So, it's not exactly the same.

While the question above seems like an easy one, it's not. Saito said that having so many characters gives the developers a lot of freedom.

""We had to choose who we wanted to have in the game,"" said Saito.

""There were so many characters we asked our users to vote for. We chose who we wanted to have in the game by asking them to vote.""

And, when it came down to it, Saito said the most popular choice was Riku.

""Riku is the most popular character, and he's also the best character,"" said Saito.

For more information on the game, check out this link.

[Via Nintendo Life, Hachima Kikō]"
"Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?","Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?

The answer is 80.

How many emus do you think there are in the world?

Answer: 1.

How many days does it take to raise an emu?

Answer: 30.

What is the largest emu in the world?

Answer: The largest emu in the world is the one that was raised by Farmer Brown. He has been in captivity for over 10 years, but due to his size, it is difficult to keep him in the same place for more than a few days."
"Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have?","Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have? Of course, we're not going to know that until we ask Bill. And we're not going to ask Bill until the following year's report. The current report will not be out for another year. The first report will be out in 2018.

There are currently about 15,000 children in our country who are living in poverty. Most of those are children from poor families. Many of those children still live in poverty, and many of them are being raised in poverty. Many of those children are being raised in poverty because of the effects of poverty. Poverty is being a barrier to their success in school and in life. And we should all be outraged by that.

So, if we want to reduce poverty, we should be fighting to reduce the poverty of children. That's the same thing we should be fighting for.

If we want to reduce the poverty of children, we should be fighting to reduce the poverty of children. That's the same thing we should be fighting for. We know that the richest country in the history of the world does not have enough money for all"
The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?,"The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price? $300.

This is why people don't want to buy a bicycle.

The price is increasing because it is a good investment.

If you are buying a bicycle for the first time, the bicycle might be worth $700 or $800. But if you bought it five years ago, it is probably worth about $500.

The bicycle is a good investment because it has a long life. You can go on vacation and still be able to ride it. You can ride it for a while and then walk away. You can take it to work and still be able to ride it.

If you get a new bicycle, you have to buy a new set of gears, brakes, and tires. Every time you ride it, you have to replace the parts.

If you were to sell the bicycle, you will not get the full value. The new bicycle will be worth about $30. So you will have to pay 30% of the value of the bicycle.

In addition, if you sell the bicycle, you will have to pay the"
"If Stu has 9 books and Albert has 4 times as many books as Stu, how many books do Stu and Albert have in total?","If Stu has 9 books and Albert has 4 times as many books as Stu, how many books do Stu and Albert have in total?

Solution:

There are 4 books in a pile, each of which contains 9 books.

Albert has 4 times as many books as Stu.

Albert has 4 times as many books as Stu. Albert has 3 times as many books as Stu. Albert has 2 times as many books as Stu. Albert has 1.5 times as many books as Stu. Albert has 1.33 times as many books as Stu. Albert has 1.0 times as many books as Stu. Albert has 0.67 times as many books as Stu.

The total number of books in a pile of 9 is 4 × 9 = 64.

Albert has 4×64 = 256 books.

Albert has 2×64 = 64 books.

Albert has 1×64 = 32 books.

Albert has 0.67×64 = 32 books.

Stu has 4×64 = 256 books. Stu has 2×64 = 64 books. Stu has 1×64 = 32 books. Stu has 0"
"Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?","Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?

Patrick: I don't think he's ever been a year older than 24. He's been a year younger than 23.

I think the biggest misconception about Patrick is that he was only a wrestler before wrestling. The fact is he wrestled for the first time in high school. He was the ring announcer for his high school wrestling team. They were called the ""Woo Fighters"" and they did a pretty good job of winning the state championships.

He wrestled, then went to Texas Christian University for his undergraduate studies. There he did a lot of work in the wrestling room. One of the things he did is he took the wrestling program and he took it with him to college. He did a lot of classes in the wrestling room. He was a pretty successful wrestler when he came to college.

Then he went on to wrestle at the University of Florida in Gainesville. He had a very good wrestling career there.

He went to the WWE as a wrestler, and then went on to a great career as a manager.

Q: What was"
"Eustace is twice as old as Milford. In 3 years, he will be 39. How old will Milford be?","Eustace is twice as old as Milford. In 3 years, he will be 39. How old will Milford be?

""He's going to be a couple of years older than me,"" Kline said. ""He's going to be 29 in a couple of years, and he's going to look like Milford. We both have the same tattoos.""

Kline and Wilson will have to wait another year to see each other in a game. But, with a little luck, they'll see each other on the field.

""I really don't know when or if that happens,"" Wilson said. ""You never know. But they would have to be really bad injuries.""

Wilson is a former quarterback at the University of Alabama who was drafted by the Steelers in the first round in the 2000 draft. He played for them from 2006-09.

Kline played quarterback for Auburn from 1991-93. He started four games in his career.

""I'm looking forward to it,"" Kline said. ""I really enjoy the game. I think I've got a lot to offer. I'm going to have a lot of fun doing it.""

Wilson is"
"Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?","Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?                                

Cori's aunt is also a very hard working woman.  This is a common characteristic among the women of the Ndebele tribe.  She also likes cooking, which is why she loves to cook for her children. 

There are many people in the Ndebele tribe, and as such, there will be many people who have the same surname as the one of the grandfather.  The Ndebele tribe is divided into different clans, and as such, each clan has a different surname.  In this case, the grandmother's surname is Ndebele. 

Cori's grandmother, Ndebele, is very beautiful.  When she was born, her parents were not married and her family was not wealthy.  Ndebele's father did not want to marry her off because his mother was not interested and he did not have a good marriage. 

"
"The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?","The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?


Answer: The third side is 25 cm


Answer:

Example:

If two of the sides are 15 cm and 80 cm, and the third side is the same as the first two sides but 50 cm, how many sides are needed to make a square?


Answer: The third side is 24 cm


Answer:

Example:

If two of the sides are 30 cm, and the third side is 20 cm, what is the length of the fourth side?


Answer: The fourth side is 21 cm


Answer:

Example:

If two of the sides are 30 cm and 80 cm, how many sides are needed to make a circle?


Answer: The third side is 15 cm


Answer:

Example:

If two of the sides are 20 cm and 80 cm, and the third side is 30 cm, how many sides are needed to make a square?


Answer: The fourth side is 21 cm


Answer:

Example:

If two of the sides are"
Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?,"Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?

Salvadore earned $2,852.

Salvadore and Santo were paid $2,852 a month for their work. So, on the surface, the two men earned the same.

But there is a big difference.

Salvadore and Santo received their income in $100 increments. For example, Salvadore received $2,852 per month.

Salvadore and Santo received their income in $100 increments. For example, Salvadore received $2,852 per month. Salvadore and Salvadore received their income in $100 increments. For example, Salvadore received $2,852 per month. Salvadore and Salvadore received their income in $100 increments. For example, Salvadore received $2,852 per month. Salvadore and Salvadore received their income in $100 increments. For example, Salvadore received $2,852 per month.

According to Salvadore, Salvo was"
James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?,"James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?  The answer is:  (10)  2,000 miles.  All of this, while driving a car with a top speed of 70 mph. 
If you've ever wondered why the average American driving a car with a top speed of 70 mph is not a threat to traffic safety, then this article is for you. 
In this post I will show you how to drive at 70 mph in a car with a top speed of 70 mph. 
I will also show you how to add some extra safety for the average driver.  This also provides a general overview of how to safely drive a car with a top speed above 70 mph.
How to Drive at 70mph in a Car with a Top Speed of 70 mph
1. Start by thinking about what your speed limits are while driving a car with a top speed of 70 mph. 
You should know your speed limits if you ever want to drive a car with a top speed of 70 mph.  2. Next, go to the speed limit signs and look at them. 
If the speed"
"Jessica is six years older than Claire. In two years, Claire will be 20 years old. How old is Jessica now?","Jessica is six years older than Claire. In two years, Claire will be 20 years old. How old is Jessica now?

At the end of the movie, Claire will be 21, and Jessica will be 18.

In the movie, Claire and Jessica have a baby together, but in the book, neither one has a child. In the movie, Jessica is still in high school. In the book, Claire is a high school graduate.

In the movie, Claire's parents are in England during the movie's events. In the book, Claire's parents were in the United States at the time of the events of the movie.

In the movie, Claire and Jessica don't have separate bedrooms. In the book, they do.

In the movie, Claire and Jessica have a baby shower. In the book, Claire and Jessica have a baby shower every year.

In the movie, Claire and Jessica have a baby shower. In the book, Claire and Jessica have a baby shower every year.

In the movie, Claire and Jessica get married. In the book, Claire and Jessica do not get married.

In the movie, Claire and Jessica get married. In"
Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?,"Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?

$.50 x 3 = $.80.

How much did he pay for eggs?

$.80 x 3 = $.90.

Total: $.90

A dollar is worth a certain amount of money.  If a dollar is worth $.80, then a dollar is worth $.80 x 2 = $1.20.  If a dollar is worth $.90, then a dollar is worth $.90 x 2 = $1.40.  A dollar is worth $.90 x 3 = $2.00.  Therefore, eggs are worth $.90 per dozen.

You can see that the number of eggs that cost $.90 per dozen is the same as the number of dollars that cost $1.20 per dozen.  However, there is a huge difference between the numbers of dollars that cost $.90 and $2.00.

For example, let's say that instead of buying eggs for $.90 each, he bought ten eggs for $.50 each.  If"
A luxury bag costs $3000. A reseller wants to get a 15% profit. How much should she sell the bag?,"A luxury bag costs $3000. A reseller wants to get a 15% profit. How much should she sell the bag?

Here's the math: The bag is worth $3000. That's $3000 divided by 15%. That's $3000 / 15%. So the reseller will sell for $15,000, or $15,000 / 15%.

It's not a lot of money, but it's not a lot of profit.

The money is being resold at a loss. The reseller is not only losing money, she is also losing reputation.

This is a lot like a car salesman, and it's also the reason why people don't buy luxury items.

The more expensive the item, the less likely people are to buy it.

This is why, in recent years, a lot of luxury retailers have been closing their doors.

Many of them were sold to other companies, but the reputation and brand was a huge part of their success. If you are thinking about opening upscale beauty stores yourself, take a look at how many successful stores have closed.

And if you're thinking about opening upscale clothing stores, I'd suggest you keep"
A package of candy has 3 servings with 120 calories each.  John eats half the package.  How many calories did he eat?,"A package of candy has 3 servings with 120 calories each.  John eats half the package.  How many calories did he eat?

Now, let us consider another example.  Let us say that John wants to eat a package of candy.  He goes to the grocery store which has a package of candy for sale.  John is asked to buy half of the package.  John has to pay $1.00 for a package of candy. John has to buy 180 calories.  John has no choice but to buy 180 calories.  What is John's food expenditure?

In this example, John paid $1.00 for a package of candy.  John paid 180 calories for the package.  John had no choice but to pay 180 calories for the package.  John's food expenditure is $0.00.

If we look at the example from above, John's food expenditure was $1.00 for a package of candy.  John paid 180 calories for the package.  John has not eaten any of the 180 calories for which he paid.  His food expenditure is $0.00.

It is important to note that John paid $1 for a package of candy."
"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?","Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether? For the purposes of the analysis, we'll ignore the fact that Diane bought ten apples and Cecile bought five.

Cecile bought 20 apples. Diane purchased 20 apples.

Now they're both at 50 apples. How many apples each one bought?

Cecile bought 30 apples. Diane bought 30 apples.

After the apples were bought, the apples were removed. They were all counted again. This time, we'll count how many apples were removed from each apple store.

Cecile removed 15 apples. Diane removed 15 apples.

After both Cecile and Diane bought 30 apples, we have 25 apples left. How many apples were bought total?

Cecile bought 50 apples. Diane bought 25 apples.

In this example, Diane bought 50 apples, or 28.25 apples. That's 29.25 apples!

Why is this so useful?

We've just seen that the amount of apples the average person buys is directly related to their total spending.

In our example, Diane bought 28.25"
"In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now?","In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now? I'm 30.""

""It's really not that simple, you know. The difference between an individual's age and their magical power is like the difference between a human and a demon. It's not only a matter of how much you can grow older, but also a matter of how much magical power you have.""

""I understand. If I have 10 years of magical power, then it'll be 40 years in the future. But how much magical power do I have now? How much of my body has been transformed? What's my age now?""

""That's a difficult question to answer. It depends on how well you can control your body. You are an extraordinary talent that can grow in the future. Even if you have only one year of magical power, you can easily grow to be twice your brother's age in ten years. However, the reason why you have the ability to grow twice your brother's age in ten years is because you have a strong bloodline. That's why you are able to grow twice as fast as your brother.""

""Really"
Ivan has 20 dice. Jerry has twice as many dice as Ivan. How many dice do they have altogether?,"Ivan has 20 dice. Jerry has twice as many dice as Ivan. How many dice do they have altogether?

What if we put Ivan in a group with Jerry?

What if Jerry has six dice while Ivan has four?

What if Ivan and Jerry have the same number of dice each?

Jerry has a total of 20 dice while Ivan has 20.

Now, consider putting Jerry in a group with Ivan.

What if Jerry has six dice while Ivan has four?

What if Ivan and Jerry have the same number of dice each?

Jerry has a total of 20 dice while Ivan has 19.

Note that the total number of dice in a group is the sum of the numbers of each dice in the group. If Ivan had four dice, then Jerry would have four dice, and so on.

When two groups of dice are equal, the total number of dice does not depend on any of the dice in the group.

2.4.1.2. Group Numbers

A group number can be used to represent a group of dice, even when the numbers of dice in the group do not all add up to a"
Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?,"Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?  He is 13 years old.
How old is Zhang's family?  Zhang is the youngest child.  He has 3 brothers:  Qiang, Zhang and Hu.
Qiang is the head of the family.  Zhang and Hu are the youngest sons.
Zhang's father is an executive in a large company. 
Qiang's father is a worker. 
Qiang's father is a worker in a large company.
The family's income is higher than average.
Zhang's family is very poor.
The family has a lot of debt.
Zhang's family is poor.
The family has no money for school.
The family has no money for school.
The family has no money for school.
Zhang's family has no money for school.
The family has no money for school. Zhang is a student in a school.  The school has been closed for a long time.
The school has been closed for a long time.
The school has been closed for a long time."
"A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?","A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs? Answer: The cost of the chair and 4 chairs is $6. The total cost for the table and chairs is $140.

A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?

The cost of the chair and 4 chairs is $6. The total cost for the table and chairs is $140.

Cost of a table = 4 chairs + chair + table

Cost of a chair + table = $6

Cost of a table = $140

Example 2: Table and chairs cost $140

A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs? Answer: The cost of the chair and 4 chairs is $6. The total cost for the table and chairs is $140.

A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a"
Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be?,"Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be?

Answer:

Tyrone, the oldest son of Jacob and Leah, is 25 years old. He will be 28 when we meet him. The other sons and daughters, including Jacob's firstborn daughter, are all approximately 25 years old.

Question:

I have a question about the age of Leah and Jacob. I'm not sure how to answer it. You've said that the two were married at the age of 5. This is the same age when Jacob is said to have entered the service of God. Do you think they were married in their birth years?

Answer:

Yes they were. They were married in their birth years.

Question:

If Jacob and Leah were married at the age of 5, how old were the sons and daughters born of their first marriage?

Answer:

The sons and daughters were born at the same time as their mother.

Question:

How old were the sons and daughters born of the second marriage?

Answer:

The sons and daughters were born at"
