original_sentence,tiiuae-falcon-7b
"Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?","Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?
1 Answer
Explanation:
Susie has
Now let's try to figure out the difference in her piggy bank,
Impact of this question
111 views around the world
You can reuse this answer
Creative Commons License
Creative Commons License"
John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year?,"John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year? If he's volunteering twice a month, then 3 hours a time, that means he's volunteering 24 hours a month. 3 hours a day for 30 days is 90 hours. 90 hours over 12 months is 7.5 months. 7.5 months * 3 hours a day = 22.5 hours.

22.5 hours is the equivalent of 2 full time jobs. Thanks for taking the time to solve this for me! I'm glad I could help. Have a nice day. You too! Thank you. You're welcome, and thank **you** for your help! No problem. I'm glad I could help. I'm glad you helped me. Thank you You're welcome. You're welcome. You're welcome. You're welcome. You're welcome. You're welcome.
 You're welcome. You're welcome."
A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?,"A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?
What is the number of children?
- 120 members
The number of children in a church is 40% of the total number of members. What is the number of children?
-?
-
- The number of children is
The number of children is four times smaller than the number of adults. Find the number of children.
-
-
-
-
- The number of children
The number of children is 80% of the number of adults. How many children are there?
- The number of children
The number of children is 40% smaller than the number of adults. How many children are there?
- Number of children
The number of children in the class is 4 times smaller than the number of adults. How many children are there?
- Class - children
Of 60 students in the class are children. How many children are there?
- Class - children
There are 80 children in the class. What percent is this of the total number of students?
"
Oliver has 10 $20 and 3 $5 bills. William has 15 $10 and 4 $5 bills. How much more money does Oliver have than William?,"Oliver has 10 $20 and 3 $5 bills. William has 15 $10 and 4 $5 bills. How much more money does Oliver have than William?
1 Answer
Answer:
Oliver has $45.
Explanation:
Let's assume that all bills are of the same denomination.
If
Impact of this question
144 views around the world
You can reuse this answer
Creative Commons License
Creative Commons License"
"Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?","Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?1
by Riku_Lover_99
Log in to add a comment
Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?
1 answer
Kristoff has 25 times more stickers than Riku. Kristoff has 25x more stickers than Riku, so Riku has 2.5 times more stickers than Kristoff.
Let's say the sticker pack costs $10.
Kristoff has 25 stickers for $25.
Riku has 2.5 stickers for $10.
Riku has 2.5/25 = 10/25 = 0.4 stickers for $10.
The stickers cost $10 for 25 stickers.
If Kristoff has 85 stickers, then Riku has 25x85 = 2,125 stickers.
Therefore, Riku has 2,125 stickers for $10."
"Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?","Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?
Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?
A. 8
B. 6
C. 4
D. 10
D
The farmer has 60 heads and legs (H&L).
That is, 60 is the product of 6 and 10.
So, the number of emus in the flock is 6×10 = 60.
1 thought on “Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?”
You must log in to post a comment."
"Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have?","Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have?
Get your free account and access expert answers to this and thousands of other questions
Looking for something else?
Not the answer you are looking for? Search for more explanations."
The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?,"The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?
$255
$260
$265
$270
$280
The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?
I am sorry but I do not know how to do that, I have been practicing all the problems I have found on the internet and this one is the only one I do not know how to do.
Can you help?
The price is $255.
Let's say the price was $220
The increase was 15%
So the increase is 15% of $220 = $33
The increase was 15% of 220 = 33
15% of 220 = 33
15% of 220 = 33
15% of 220 = 33
1/3 = 33/220
33/220 = 1/7
33/220 = 1/7
33% of 220 = "
"If Stu has 9 books and Albert has 4 times as many books as Stu, how many books do Stu and Albert have in total?","If Stu has 9 books and Albert has 4 times as many books as Stu, how many books do Stu and Albert have in total?
The number of books Albert has is 3 times the number of books Stu has.
Let's find the number of books that Albert has.
9+3=12
12+3=15
Albert has 15 books.
The number of books that Stu has is 9 times the number of books Albert has.
Let's find the number of books that Stu has.
9+9=18
18+9=27
Stu has 27 books.
The total number of books that Stu and Albert have is 27+15=42."
"Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?","Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?
Let P=30 years.
So P=30 and P=30-2.
P=28
Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?
Let P=30 years.
So P=30 and P=30-2.
P=28
The correct answer is 28.
I am assuming that the younger brother is younger than his brother by 2 years, so the younger brother will turn 30 after 2 years, then his brother will turn 30 after 4 years.
Let P = 30 years,
And T = 2 years.
Then,
T = 2/4 = 0.5 years.
Now,
P - T = 30-0.5 = 29.5.
So,
P = 29.5 years.
So,
P = 29.5 years.
So,
"
"Eustace is twice as old as Milford. In 3 years, he will be 39. How old will Milford be?","Eustace is twice as old as Milford. In 3 years, he will be 39. How old will Milford be?
Get your free account and access expert answers to this and thousands of other questions
Looking for something else?
Not the answer you are looking for? Search for more explanations."
"Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?","Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?

Thank you :) That's great.  You'll have to write a book someday or something.  I would totally buy it.  Aww, thanks :) I'm not sure about writing a book, but maybe I'll start a blog. :D You should.  I'd totally read it. I'll keep you posted! Will you also post to /r/shittyprogramming? I didn't know about that sub, but I think I'll do a little bit of both. The best of both worlds. What do you mean? That you should write a book on this and post some of the answers here and some on r/shittyprogramming. I'll keep it in mind :) You should do it. You're good at it. I'll keep it in mind :) You should do it. You're good at it. I'll keep it in mind :)"
"The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?","The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?
Result
Result
Leave us a comment of this math problem and its solution (i.e. if it is still somewhat unclear...):
Showing 0 comments:
Be the first to comment!
To solve this verbal math problem are needed these knowledge from mathematics:
Next similar examples:
- Triangle
The perimeter of the triangle is 80 cm. Its angles are 70, 80 and 90 degrees. Calculate the length of the third side of the triangle.
- Three sides
Three sides of a triangle have a total length 15.2 cm. The longest side is 2 cm longer than the shortest. Determine the lengths of all three sides.
- Three sides
Three sides of a triangle are 36, 29 and 32 cm long. Calculate its perimeter.
- Three sides
Calculate perimeter of triangle, if one side is 10cm, the other two are 3cm and 5cm long.
- Sides of triangle
Determine the perimeter and area of triangle, if the"
Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?,"Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?
The table below shows the amount received by each person for the month:
Santo earned $1956
Salvadore earned half of what Santo earned.
How much money did the two men earn together?
To find the total amount earned, multiply the numbers in the table:
1956 x 2 = 3920
3920 is equal to $1956.
You can use this method to solve the problem in the box.
Santo earned $1956 and Salvadore earned half of what Santo earned.
Santo earned $1956 and Salvadore earned half of what Santo earned.
How much money did the two men earn together?
To find the total amount earned, multiply the numbers in the table:
1956 x 2 = 3920
3920 is equal to $1956.
$1956 + $1956 = $3920
Add the amounts together to find the total amount earned.
$1956 "
James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?,"James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?

That is what I meant by ""multiply by"" - I am multiplying by 15/30.  I think you misunderstood me.  I do not mean ""multiply by"" as in ""multiply by a constant"". Well yes, I was misunderstanding you.

You wrote ""For this question, I am multiplying by 15/30"" but then you were using 15/30 as a constant. In that case it would make sense to write ""multiply by"" as you did.

But this is misleading because it actually means ""multiply by 1/30"". So instead of writing ""multiply by 15/30"" you should write ""multiply by 1/30"". I see.  To clarify:  I am multiplying by 15/30, but not in the context of a ratio.  I am multiplying by 15/30 *in the context of a distance*.  ""Multiply by"" is referring to a ratio"
"Jessica is six years older than Claire. In two years, Claire will be 20 years old. How old is Jessica now?","Jessica is six years older than Claire. In two years, Claire will be 20 years old. How old is Jessica now?
a) 15
b) 13
c) 11
d) 9
e) None of the above
The correct answer is (a) 15.
In this problem, we are trying to solve for the value of the variable x which equals the number of years that Jessica has been alive. We know that Claire will be 20 years old in two years. From that information, we can calculate the current age of Jessica by subtracting two from 20.
Jessica is six years older than Claire, so we can calculate the number of years that Jessica has been alive using the following equation:
6 years = (current age of Jessica – age of Claire)
6 years = (current age of Jessica – age of Claire)
Now that we know the number of years that Jessica has been alive, we can calculate her current age with the following equation:
current age = (current age of Jessica – age of Claire)
current age = (current age of"
Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?,"Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?
"
A luxury bag costs $3000. A reseller wants to get a 15% profit. How much should she sell the bag?,"A luxury bag costs $3000. A reseller wants to get a 15% profit. How much should she sell the bag?
Get your free account and access expert answers to this and thousands of other questions
Looking for something else?
Not the answer you are looking for? Search for more explanations."
A package of candy has 3 servings with 120 calories each.  John eats half the package.  How many calories did he eat?,"A package of candy has 3 servings with 120 calories each.  John eats half the package.  How many calories did he eat?
"
"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?","Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?
Answer: They bought a total of 35 apples.
Let’s look closely at the question and see what we have to work with.
Diane bought 20 apples.
Cecile bought 15 apples.
Together, Diane and Cecile bought a total of 35 apples.
We can make a table to help us visualize the problem.
What we have is a table of two columns and two rows.
We can fill in the answers for the first column and the first row.
We can fill in the answers for the second column and the second row.
We can see that the total is 35 apples.
We can solve this problem using the distributive property.
We can use the distributive property to solve this problem.
Diane bought 20 apples.
Cecile bought 15 apples.
Let’s write this in the form of an equation.
We have to use the distributive property.
The distributive property is used to multiply a number by a coefficient.
The coefficient is the number"
"In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now?","In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now?
The sum of their ages is 40 years old.
4 years
4 years
You are 4 years old.
They are 40 years old.
They are 40 years old.
You are 4 years old.
They are 40 years old.
4 years.
4 years
You are 4 years old.
You are 4 years old.
You are 4 years old.
You are 4 years old."
Ivan has 20 dice. Jerry has twice as many dice as Ivan. How many dice do they have altogether?,"Ivan has 20 dice. Jerry has twice as many dice as Ivan. How many dice do they have altogether?
Get your free account and access expert answers to this and thousands of other questions
Looking for something else?
Not the answer you are looking for? Search for more explanations."
Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?,"Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?

A. 14

B. 13

C. 12

D. 11

E. 10

F. 9

G. 8

&amp;#x200B;

Q. Zhang's father is twice as old as Zhang.  Li is 12 years old.  Zhang's mother is 2 years older than Zhang.  How old is Zhang's mother?

A. 26

B. 24

C. 22

D. 20

E. 18

F. 16

G. 14

&amp;#x200B;

Q. Zhang is twice as old as Li.  Li is 12 years old.  His brother Jung is 2 years older than Zhang.  How old is Jung?

A. 14

B. 13

C. 12

D. 11

E. 10

F."
"A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?","A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?
1 Answer
Jan 13, 2017
Answer:
Explanation:
Given,
Table cost
=
$140
Table + Chair cost
=
$80+140
⇒
Total cost of table and chair
=
$200
Impact of this question
175 views around the world
You can reuse this answer
Creative Commons License
Creative Commons License"
Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be?,"Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be?
What is wrong with the following expression? 2x - 3 = -3x +2
In 6 years, Tony will be 24. Jacob is 24 now. How old will Tony be in 6 years?
Tony will be 24 years old. Jacob is 24 now. In 6 years Tony will be 24 years old.
Jacob is 24 years old. Tony is 24 years old. How old will Tony be in 5 years?
Tony will be 29 years old.
Tony is 24 years old. Jacob is 24 years old. In 3 years, how old will Tony be?
Tony will be 26 years old.
Jacob is 24 years old. Tony is 24 years old. In 7 years, how old will Jacob be?
Jacob will be 32 years old.
Tony is 24 years old. Jacob is 24 years old. In 3 years, how old will Tony be?
Tony will be 27 years old"
"The city’s bus system carries 1,200,000 people each day. How many people does the bus system carry for 13 weeks?","The city’s bus system carries 1,200,000 people each day. How many people does the bus system carry for 13 weeks?
Get your free account and access expert answers to this and thousands of other questions
Looking for something else?
Not the answer you are looking for? Search for more explanations."
"Zig wrote four times as many books as Flo. If Zig wrote 60 books, how many books did they write altogether?","Zig wrote four times as many books as Flo. If Zig wrote 60 books, how many books did they write altogether?
There are no answers to this question.
Sorry, there are no answers yet.
Sorry, there are no answers yet.
Sorry, there are no answers yet.
Sorry, there are no answers yet.
Zig wrote four times as many books as Flo. If Zig wrote 60 books, how many books did they write altogether?
There are no answers to this question.
The question is: ""How many books did Flo and Zig write?""
There are two ways to solve this question.
The first way is to add two numbers:
60 + 60 = 120
The second way to solve this question is to use a ""percentage"".
We could write 60 & 120 = 180 as:
60% + 60% = 120%
We can also write this as:
90% = 90% + 60%
The answer is 90%
So there are 90% as many books as Flo and Zig wrote"
"There are 30 different nuts in a bowl. If 5/6 of the nuts were eaten, how many nuts were left?","There are 30 different nuts in a bowl. If 5/6 of the nuts were eaten, how many nuts were left?
Question
0Mathematics 3 years 0 Answers 49 views 0
Lost your password? Please enter your email address. You will receive a link and will create a new password via email.
Join asked 3 months ago
0 answers
Related Questions
Q: Which of the following factors can be eliminated from the equation x2+y2=z2 without changing the value of the equation?
-"
"Jackson has 5 times more money than Williams. Together, they have $150. How much money, in dollars, does Jackson have?","Jackson has 5 times more money than Williams. Together, they have $150. How much money, in dollars, does Jackson have?
Question 8 1.3k plays
What is the difference between an integer and a rational number?
Question 7 2.3k plays
What is the difference between a rational number and an irrational number?
Question 6 1.5k plays
What is the difference between a prime number and a composite number?
Question 5 1.5k plays
What is the difference between a natural number and an odd number?
Question 4 1.4k plays
What is the difference between a whole number and an integer?
Question 3 1.8k plays
What is the difference between a rational number and a real number?
Question 2 1.1k plays
What is the difference between an even number and an odd number?
Question 1 2.0k plays
What is the difference between an integer and a rational number?
- 1
- 2
- 3
- 4
- 5
- 6
- 7
-"
Bart buys $10 of notepads for $1.25 each.  They have 60 pages each.  How many pages did he buy?,"Bart buys $10 of notepads for $1.25 each.  They have 60 pages each.  How many pages did he buy?

Bart buys $3 of notepads for $1.00 each.  How many pages did he buy?

Bart buys $4 of notepads for $0.55 each.  How many pages did he buy?

Bart buys $5 of notepads for $0.45 each.  How many pages did he buy?

 @user4894 I'm interested in the 10 pages at $1.25 each, 20 pages at $1.00 each, and 20 pages at $0.55 each. The 10 pages at $1.25 should be $12.50, the 20 pages at $1.00 should be $20.00, and the 20 pages at $0.55 should be $11.00. I think it's 60 pages for $1.25, 120 pages for $1.00, and 120 pages for $0.55"
Trent caught 180 tadpoles then let 75% of them go. How many did he keep?,"Trent caught 180 tadpoles then let 75% of them go. How many did he keep?
The first two digits of the number of tadpoles caught are 18 and 20, respectively. The number of tadpoles caught is 210, and the number of tadpoles released is 150.
Secure Information
Content will be erased after question is completed.
Enter the email address associated with your account, and we will email you a link to reset your password.
Forgot your password?"
"Edric's monthly salary is $576. If he works 8 hours a day for 6 days a week, how much is his hourly rate?","Edric's monthly salary is $576. If he works 8 hours a day for 6 days a week, how much is his hourly rate?
Get your free account and access expert answers to this and thousands of other questions
Looking for something else?
Not the answer you are looking for? Search for more explanations."
"On a 16 GB (gigabyte) capacity USB drive, 50% is already busy. Calculate the number of gigabytes still available.","On a 16 GB (gigabyte) capacity USB drive, 50% is already busy. Calculate the number of gigabytes still available.
The problem is that I'm new to programming and I'm a bit of a noob. I've tried the code below but I'm not sure if I'm on the right track. I'm having trouble figuring out the right syntax to calculate the remaining gigabytes. Any help is much appreciated.
#include <iostream>
#include <string>
#include <cstdlib>
#include <fstream>
#include <iomanip>
#include <conio.h>
using namespace std;
int main()
{
unsigned long int kb;
string str;
cout << ""Enter the size of the drive "";
cin >> kb;
ofstream myfile;
myfile.open(""diskinfo.txt"", ios::app);
int i;
string line;
ifstream infile(""diskinfo.txt"");
getline(infile, line);
getline(infile, line);
get"
Kim buys 3 pizzas.  They are 12 slices each.  The pizza cost $72.  How much did 5 slices cost?,"Kim buys 3 pizzas.  They are 12 slices each.  The pizza cost $72.  How much did 5 slices cost?

The answer is 72 dollars. I got it, thanks. I was thinking too much. If you were thinking too much, then you wouldn't have needed the hint. I'm not sure that's true. I am.

If you were thinking too much, you would have used the hint and solved the problem quickly.

If you were not thinking too much, you would have used the hint and solved the problem quickly.

Therefore, if you were thinking too much, you would not have needed the hint. True. I am very smart. I am smart too. I am not smart.

Therefore I am not too much smart. I am not too much smart. I am smart. I am smart. I am not too much smart.

There is no such thing as too much smart. I am too much smart. I am not smart.  I am not smart. I am smart.

I am not too much smart. Yes"
"A pool has 48 blue tiles and 32 red tiles. If the pool needs 100 tiles to be completed, how many more tiles are needed?","A pool has 48 blue tiles and 32 red tiles. If the pool needs 100 tiles to be completed, how many more tiles are needed?
The number of blue tiles needed is the difference between the number of blue tiles that are already in the pool and the number of red tiles that are needed to complete the pool.
What is the difference between 48 blue tiles and 32 red tiles?
48 blue tiles - 32 red tiles = 16 red tiles
The number of red tiles needed is the difference between the number of red tiles in the pool and the number of blue tiles already in the pool.
What is the difference between 16 red tiles and 48 blue tiles?
16 red tiles - 48 blue tiles = 32 red tiles
Now the number of red tiles needed is the difference between the number of red tiles in the pool and the number of blue tiles that are already in the pool.
What is the difference between the number of red tiles and the number of blue tiles?
32 red tiles - 48 blue tiles = 16 red tiles
The number of red tiles needed is the difference between the number of red tiles in the pool and the number"
John eats a bag of chips for dinner and then eats twice as many after dinner.  How many bags of chips did he eat?,"John eats a bag of chips for dinner and then eats twice as many after dinner.  How many bags of chips did he eat?

I'd really like to get this one.  
My solution:  12 chips

But the answer is 24.  How the hell did he get 24? I think it's because there's 12 chips in the bag (12x2) and he eats 2 bags. That's what I was thinking, but I don't know how you get 12 bags from a bag of chips.  

Now I'm just frustrated and confused. If you start with 12 chips and eat 2 bags, then you have 24 chips left. This is correct. I was assuming that they were asking you to calculate the number of bags of chips to make the 24 chips. With that assumption, the answer is 2. There's also the possibility that they're asking you to calculate the number of chips in 2 bags. Ah, I see now. Thanks! No problem! Glad to help. You're awesome! That's very"
Jenny had $24 left after spending 3/7 of her money. How much is half of her original amount of money?,"Jenny had $24 left after spending 3/7 of her money. How much is half of her original amount of money?
1 Answer
Answer:
Jenny spent
Explanation:
The problem says
The problem is asking us to find the amount that's left after spending
The problem is asking us to find the amount that's left after spending
Impact of this question
191 views around the world
You can reuse this answer
Creative Commons License
Creative Commons License"
"Jed is 10 years older than Matt. In 10 years, Jed will be 25 years old. What is the sum of their present ages?","Jed is 10 years older than Matt. In 10 years, Jed will be 25 years old. What is the sum of their present ages?
1 Answer
Mar 30, 2015
Explanation:
If Jed is 10 years older than Matt, then Matt will be 15 years old when Jed is 25 years old.
We can calculate the present ages of Jed and Matt using the relationship between their ages from the given problem:
Impact of this question
1046 views around the world
You can reuse this answer
Creative Commons License
Creative Commons License"
"Anya has 4 times as many erasers as Andrea. If Andrea has 4 erasers, how many more erasers does Anya have than Andrea?","Anya has 4 times as many erasers as Andrea. If Andrea has 4 erasers, how many more erasers does Anya have than Andrea?
The first step is to make a picture of the problem. We've made up a table.
Any answer that you get is going to be a fraction.
If you have 4 erasers, that means you have 4/4 of a eraser.
If Andrea has 4 erasers, she has 4/4 of a eraser.
If Andrea has 3/4 of a eraser, she doesn't have as many erasers as Anya.
If Andrea has 5/4 of a eraser, she has more erasers than Anya."
