original_sentence,truncated_sentence
"Agriculture 
Alabama's agricultural outputs include poultry and eggs, cattle, fish, plant nursery items, peanuts, cotton, grains such as corn and sorghum, vegetables, milk, soybeans, and peaches.",Agriculture Alabama's agricultural outputs include
"Alabama () is a state in the Southeastern region of the United States, bordered by Tennessee to the north; Georgia to the east; Florida and the Gulf of Mexico to the south; and Mississippi to the west.",Alabama () is a state
"Alabama 23rd in the amount of surface water, also giving it the second-largest inland waterway system in the United States.",Alabama 23rd in the amount
"Alabama English is predominantly Southern, and is related to South Midland speech which was taken across the border from Tennessee.","Alabama English is predominantly Southern,"
"Alabama averages over 100,000 fans per game and Auburn averages over 80,000—both numbers among the top twenty in the nation.","Alabama averages over 100,000 fans"
Alabama has 67 counties.,Alabama has 67 counties.
"Alabama has been identified as one of the most religious states in the United States, with about 58% of the population attending church regularly.",Alabama has been identified as
"Alabama has coastline at the Gulf of Mexico, in the extreme southern edge of the state.",Alabama has coastline at the
Alabama has historically been a popular region for film shoots due to its diverse landscapes and contrast of environments.,Alabama has historically been a
Alabama has made some changes since the late 20th century and has used new types of voting to increase representation.,Alabama has made some changes
Alabama has the death penalty with authorized methods of execution that include the electric chair and the gas chamber.,Alabama has the death penalty
"Alabama is also known as the ""Heart of Dixie"" and the ""Cotton State"".",Alabama is also known as
Alabama is also prone to tropical storms and hurricanes.,Alabama is also prone to
"Alabama is an alcoholic beverage control state, meaning the state government holds a monopoly on the sale of alcohol.",Alabama is an alcoholic beverage
"Alabama is bordered by the states of Tennessee to the north, Georgia to the east, Florida to the south, and Mississippi to the west.",Alabama is bordered by the
"Alabama is home to a diverse array of flora and fauna in habitats that range from the Tennessee Valley, Appalachian Plateau, and Ridge-and-Valley Appalachians of the north to the Piedmont, Canebrake, and Black Belt of the central region to the Gulf Coastal Plain and beaches along the Gulf of Mexico in the south.",Alabama is home to a
"Alabama is in the subtropical coniferous forest biome and once boasted huge expanses of pine forest, which still form the largest proportion of forests in the state.",Alabama is in the subtropical
"Alabama is located in the middle of the Bible Belt, a region of numerous Protestant Christians.",Alabama is located in the
"Alabama is nicknamed the Yellowhammer State, after the state bird.",Alabama is nicknamed the Yellowhammer
Alabama is one of the few places in the world that has a secondary tornado season in November and December besides the typically severe spring.,Alabama is one of the
"Alabama levies a 2%, 4%, or5% personal income tax, depending on the amount earned and filing status.","Alabama levies a 2%, 4%,"
"Alabama literature is characterized by themes of race and issues of gender and war, and is influenced by events such as the American Civil War, the Reconstruction era, the Civil Rights Movement, and the Vietnam War.",Alabama literature is characterized by
"Alabama was admitted as the 22nd state on December 14, 1819, with Congress selecting Huntsville as the site for the first Constitutional Convention.",Alabama was admitted as the
Alabama was under military rule from the end of the war in May 1865 until its official restoration to the Union in 1868.,Alabama was under military rule
"Alabama's 67 county sheriffs are elected in partisan, at-large races, and Republicans retain the vast majority of those posts.",Alabama's 67 county sheriffs are
"Alabama's constitution has been amended more than 700 times, and almost one-third of the amendments are local in nature, applying to only one county or city.",Alabama's constitution has been amended
Alabama's government is divided into three coequal branches.,Alabama's government is divided into
"Alabama's highest temperature of  was recorded on September 5, 1925, in the unincorporated community of Centerville.",Alabama's highest temperature of was
Alabama's land consists of  of forest or 67% of the state's total land area.,Alabama's land consists of of
Alabama's population younger than age1 were minorities.,Alabama's population younger than age1
"Alabama's programs of higher education include 14 four-year public universities, two-year community colleges, and 17 private, undergraduate and graduate universities.",Alabama's programs of higher education
Alabama's slaves were freed by the 13th Amendment in 1865.,Alabama's slaves were freed by
"Alabama, along with Oklahoma and Iowa, has the most confirmed F5 and EF5 tornadoes of any state, according to statistics from the National Climatic Data Center for the period January 1, 1950, to June 2013.","Alabama, along with Oklahoma and"
Alabama: The History of a Deep South State (1994).,Alabama: The History of a
Alabamians began to practice aquaculture in the early 1960s.,Alabamians began to practice aquaculture
Albedo (; ) is the fraction of sunlight that is diffusely reflected by a body.,Albedo (; ) is the
Albedo affects climate by determining how much radiation a planet absorbs.,Albedo affects climate by determining
"Albedo and climate in some areas are affected by artificial clouds, such as those created by the contrails of heavy commercial airliner traffic.",Albedo and climate in some
"Albedo is an important concept in climatology, astronomy, and environmental management.",Albedo is an important concept
"Alexander the Great, son of the Epirote princess Olympias, could therefore also claim this descent, and in many ways strove to be like his great ancestor.","Alexander the Great, son of"
"All AMPAS members must be invited to join by the Board of Governors, on behalf of Academy Branch Executive Committees.",All AMPAS members must be
"Allegations of a lack of diversity 
The Academy Awards have long received criticism over its lack of diversity among the nominees.",Allegations of a lack of
"Alluding to these legends, the term ""Achilles' heel"" has come to mean a point of weakness which can lead to downfall, especially in someone or something with an otherwise strong constitution.","Alluding to these legends, the"
"Already in the fifth century BC, Pindar had mentioned a cult of Achilles on a ""bright island"" (φαεννά νᾶσος, phaenná nâsos) of the Black Sea, while in another of his works, Pindar would retell the story of the immortalized Achilles living on a geographically indefinite Island of the Blest together with other heroes such as his father Peleus and Cadmus.",Already in the fifth century
"Also, the bones of Antilocus, who had become closer to Achilles than any other following Patroclus' death, were separately enclosed.","Also, the bones of Antilocus,"
"Although he was aware of the existence and potential of larger empires, the natural community according to Aristotle was the city (polis) which functions as a political ""community"" or ""partnership"" (koinōnia).",Although he was aware of
"Although most modern audiences have heard the taxi horns using the notes A, B, C, and D, it had been Gershwin's intention to use the notes A4, B4, D5, and A3.",Although most modern audiences have
"Although snow is a rare event in much of Alabama, areas of the state north of Montgomery may receive a dusting of snow a few times every winter, with an occasional moderately heavy snowfall every few years.",Although snow is a rare
"Although still dominant in ratings, the viewership of the Academy Awards has steadily dropped; the 88th Academy Awards were the lowest-rated in the past eight years (although with increases in male and 18–49 viewership), while the show itself also faced mixed reception.","Although still dominant in ratings,"
"Although the death of Achilles is not presented in the Iliad, other sources concur that he was killed near the end of the Trojan War by Paris, who shot him with an arrow.",Although the death of Achilles
"Although the reflectivity of water is very low at low and medium angles of incident light, it becomes very high at high angles of incident light such as those that occur on the illuminated side of Earth near the terminator (early morning, late afternoon, and near the poles).",Although the reflectivity of water
"Among countless other achievements, Aristotle was the founder of formal logic, pioneered the study of zoology, and left every future scientist and philosopher in his debt through his contributions to the scientific method.","Among countless other achievements, Aristotle"
"Among the best-known depictions is Raphael's fresco The School of Athens, in the Vatican's Apostolic Palace, where the figures of Plato and Aristotle are central to the image, at the architectural vanishing point, reflecting their importance.",Among the best-known depictions is
"Among the historical tribes of Native American people living in present-day Alabama at the time of European contact were the Cherokee, an Iroquoian language people; and the Muskogean-speaking Alabama (Alibamu), Chickasaw, Choctaw, Creek, and Koasati.",Among the historical tribes of
Among these correct predictions are the following.,Among these correct predictions are
"Among these were the semicursive minuscule of Italy, the Merovingian script in France, the Visigothic script in Spain, and the Insular or Anglo-Irish semi-uncial or Anglo-Saxon majuscule of Great Britain.",Among these were the semicursive
An 1842 article in the Jacksonville Republican proposed it meant 'Here We Rest'.,An 1842 article in the
An American in Paris is a jazz-influenced symphonic poem (or tone poem) for orchestra by American composer George Gershwin first performed in 1928.,An American in Paris is
"An archaic cult is attested for the Milesian colony of Olbia as well as for an island in the middle of the Black Sea, today identified with Snake Island (Ukrainian Зміїний, Zmiinyi, near Kiliya, Ukraine).",An archaic cult is attested
"An eye is only a good eye in so much as it can see, because the proper function of an eye is sight.",An eye is only a
Anarchic attitudes were also articulated by tragedians and philosophers in Greece.,Anarchic attitudes were also articulated
Anarchism advocates for the replacement of the state with stateless societies and voluntary free associations.,Anarchism advocates for the replacement
"Anarchism is a political philosophy and movement that is skeptical of all justifications for authority and seeks to abolish the institutions it claims maintain unnecessary coercion and hierarchy, typically including nation-states, and capitalism.",Anarchism is a political philosophy
Anarchism is usually placed on the far-left of the political spectrum.,Anarchism is usually placed on
"Anarchist education is based largely on the idea that a child's right to develop freely and without manipulation ought to be respected and that rationality would lead children to morally good conclusions; however, there has been little consensus among anarchist figures as to what constitutes manipulation.",Anarchist education is based largely
Anarchist perspectives towards violence have always been controversial.,Anarchist perspectives towards violence have
Anarchist principles undergird contemporary radical social movements of the left.,Anarchist principles undergird contemporary radical
Anarchist schools disagree on the methods by which these forms should be opposed.,Anarchist schools disagree on the
Anarchist tactics have shifted during the course of the last century.,Anarchist tactics have shifted during
Anarchistic popular fiction novel.,Anarchistic popular fiction novel.
"Anarchists became known for their involvement in protests against the World Trade Organization (WTO), the Group of Eight and the World Economic Forum.",Anarchists became known for their
"Anarchists consider proper education, one which sets the foundations of the future autonomy of the individual and the society, to be an act of mutual aid.","Anarchists consider proper education, one"
Anarchists consider the state as a tool of domination and believe it to be illegitimate regardless of its political tendencies.,Anarchists consider the state as
"Anarchists employ diverse approaches, which may be generally divided into revolutionary and evolutionary strategies; there is significant overlap between the two.","Anarchists employ diverse approaches, which"
Anarchists have employed various methods in order to build a rough consensus among members of their group without the need of a leader or a leading group.,Anarchists have employed various methods
"Anarchists have found it easier to create websites because of distributional and other difficulties, hosting electronic libraries and other portals.",Anarchists have found it easier
Anarchists organize themselves to squat and reclaim public spaces.,Anarchists organize themselves to squat
"Anarchists took an active role in strike actions, although they tended to be antipathetic to formal syndicalism, seeing it as reformist.",Anarchists took an active role
Anarcho-communism developed from radical socialist currents after the French Revolution but was first formulated as such in the Italian section of the First International.,Anarcho-communism developed from radical socialist
"Anarcho-pacifists advocate for non-violence means to achieve their stateless, nonviolent ends.",Anarcho-pacifists advocate for non-violence means
Another criticism of anarchism is the belief that it is inherently unstable: that an anarchist society would inevitably evolve back into a state.,Another criticism of anarchism is
"Another version of Achilles' death is that he fell deeply in love with one of the Trojan princesses, Polyxena.",Another version of Achilles' death
"Apellicon sought to recover the texts, many of which were seriously degraded at this point due to the conditions in which they were stored.",Apellicon sought to recover the
Aquaculture is a large part of the economy of Alabama.,Aquaculture is a large part
"Archive 
The Academy Film Archive holds copies of every Academy Awards ceremony since the 1949 Oscars and material on many prior ceremonies, along with ancillary material related to more recent shows.",Archive The Academy Film Archive
"Arctic regions notably release more heat back into space than what they absorb, effectively cooling the Earth.",Arctic regions notably release more
Areas in Alabama administered by the National Park Service include Horseshoe Bend National Military Park near Alexander City; Little River Canyon National Preserve near Fort Payne; Russell Cave National Monument in Bridgeport; Tuskegee Airmen National Historic Site in Tuskegee; and Tuskegee Institute National Historic Site near Tuskegee.,Areas in Alabama administered by
"Aristotle (;  Aristotélēs, ; 384–322 BC) was an Ancient Greek philosopher and polymath.","Aristotle (; Aristotélēs, ; 384–322"
Aristotle believed that past experiences are hidden within the mind.,Aristotle believed that past experiences
"Aristotle believed the chain of thought, which ends in recollection of certain impressions, was connected systematically in relationships such as similarity, contrast, and contiguity, described in his laws of association.",Aristotle believed the chain of
"Aristotle called it ""first philosophy"", and distinguished it from mathematics and natural science (physics) as the contemplative (theoretikē) philosophy which is ""theological"" and studies the divine.","Aristotle called it ""first philosophy"","
Aristotle considered the city to be a natural community.,Aristotle considered the city to
Aristotle considers types of movement).,Aristotle considers types of movement).
"Aristotle describes experiments in optics using a camera obscura in Problems, book 15.",Aristotle describes experiments in optics
Aristotle describes sleep in On Sleep and Wakefulness.,Aristotle describes sleep in On
"Aristotle describes two kinds of motion: ""violent"" or ""unnatural motion"", such as that of a thrown stone, in the Physics (254b10), and ""natural motion"", such as of a falling object, in On the Heavens (300a20).",Aristotle describes two kinds of
Aristotle did not do experiments in the modern sense.,Aristotle did not do experiments
"Aristotle distinguished about 500 species of animals, arranging these in the History of Animals in a graded scale of perfection, a nonreligious version of the scala naturae, with man at the top.",Aristotle distinguished about 500 species
"Aristotle examines the concepts of substance (ousia) and essence (to ti ên einai, ""the what it was to be"") in his Metaphysics (Book VII), and he concludes that a particular substance is a combination of both matter and form, a philosophical theory called hylomorphism.",Aristotle examines the concepts of
Aristotle gave a summary of the function of money that was perhaps remarkably precocious for his time.,Aristotle gave a summary of
"Aristotle has been depicted by major artists including Lucas Cranach the Elder, Justus van Gent, Raphael, Paolo Veronese, Jusepe de Ribera, Rembrandt, and Francesco Hayez over the centuries.",Aristotle has been depicted by
"Aristotle implies that in a vacuum the speed of fall would become infinite, and concludes from this apparent absurdity that a vacuum is not possible.",Aristotle implies that in a
"Aristotle made substantial contributions to economic thought, especially to thought in the Middle Ages.",Aristotle made substantial contributions to
Aristotle provided a complex synthesis of the various philosophies existing prior to him.,Aristotle provided a complex synthesis
Aristotle reports on the sea-life visible from observation on Lesbos and the catches of fishermen.,Aristotle reports on the sea-life
Aristotle suggested that the reason for anything coming about can be attributed to four different types of simultaneously active factors.,Aristotle suggested that the reason
"Aristotle taught that to achieve a virtuous and potentially happy character requires a first stage of having the fortune to be habituated not deliberately, but by teachers, and experience, leading to a later stage in which one consciously chooses to do the best things.",Aristotle taught that to achieve
"Aristotle taught that tragedy is composed of six elements: plot-structure, character, style, thought, spectacle, and lyric poetry.",Aristotle taught that tragedy is
Aristotle taught that virtue has to do with the proper function (ergon) of a thing.,Aristotle taught that virtue has
"Aristotle uses the term 'memory' for the actual retaining of an experience in the impression that can develop from sensation, and for the intellectual anxiety that comes with the impression because it is formed at a particular time and processing specific contents.",Aristotle uses the term 'memory'
Aristotle was appointed as the head of the royal Academy of Macedon.,Aristotle was appointed as the
"Aristotle was born in 384 BC in Stagira, Chalcidice, about 55 km (34 miles) east of modern-day Thessaloniki.",Aristotle was born in 384
Aristotle was one of the first people to record any geological observations.,Aristotle was one of the
Aristotle was one of the most revered Western thinkers in early Islamic theology.,Aristotle was one of the
"Aristotle writes in his Poetics that epic poetry, tragedy, comedy, dithyrambic poetry, painting, sculpture, music, and dance are all fundamentally acts of mimesis (""imitation""), each varying in imitation by medium, object, and manner.",Aristotle writes in his Poetics
"Aristotle wrote his works on papyrus scrolls, the common writing medium of that era.",Aristotle wrote his works on
"Aristotle's Rhetoric proposes that a speaker can use three basic kinds of appeals to persuade his audience: ethos (an appeal to the speaker's character), pathos (an appeal to the audience's emotion), and logos (an appeal to logical reasoning).",Aristotle's Rhetoric proposes that a
"Aristotle's analysis of procreation describes an active, ensouling masculine element bringing life to an inert, passive female element.",Aristotle's analysis of procreation describes
Aristotle's discussions on retail and interest was a major influence on economic thought in the Middle Ages.,Aristotle's discussions on retail and
Aristotle's interpretation of Plato and maintained that he had misunderstood Plato.,Aristotle's interpretation of Plato and
"Aristotle's ontology places the universal (katholou) in particulars (kath' hekaston), things in the world, whereas for Plato the universal is a separately existing form which actual things imitate.",Aristotle's ontology places the universal
"Aristotle's psychology, given in his treatise On the Soul (peri psychēs), posits three kinds of soul (""psyches""): the vegetative soul, the sensitive soul, and the rational soul.","Aristotle's psychology, given in his"
"Aristotle's pupil and successor, Theophrastus, wrote the History of Plants, a pioneering work in botany.","Aristotle's pupil and successor, Theophrastus,"
"Aristotle's students included Aristoxenus, Dicaearchus, Demetrius of Phalerum, Eudemos of Rhodes, Harpalus, Hephaestion, Mnason of Phocis, Nicomachus, and Theophrastus.","Aristotle's students included Aristoxenus, Dicaearchus,"
"Aristotle's views on women influenced later Western philosophers, who quoted him as an authority until the end of the Middle Ages, but these views have been controversial in modern times.",Aristotle's views on women influenced
Aristotle's views profoundly shaped medieval scholarship.,Aristotle's views profoundly shaped medieval
Aristotle's writings on motion remained influential until the Early Modern period.,Aristotle's writings on motion remained
"Around the turn of the 21st century, anarchism grew in popularity and influence within anti-capitalist, anti-war and anti-globalisation movements.",Around the turn of the
Art Deco style holding a sword standing on a reel of film with five spokes.,Art Deco style holding a
"As Douglas and the other candidates campaigned, Lincoln gave no speeches, relying on the enthusiasm of the Republican Party.",As Douglas and the other
"As Grant continued to weaken Lee's forces, efforts to discuss peace began.",As Grant continued to weaken
"As Southern states fell, they needed leaders while their administrations were restored.","As Southern states fell, they"
"As States sent Union regiments south, on April 19, Baltimore mobs in control of the rail links attacked Union troops who were changing trains.",As States sent Union regiments
"As a Whig activist, Lincoln was a spokesman for business interests, favoring high tariffs, banks, infrastructure improvements, and railroads, in opposition to Jacksonian democrats.","As a Whig activist, Lincoln"
"As a teen, Lincoln took responsibility for chores and customarily gave his father all earnings from work outside the home until he was 21.","As a teen, Lincoln took"
"As a young man, Lincoln was a religious skeptic.","As a young man, Lincoln"
"As anarchism is a philosophy that embodies many diverse attitudes, tendencies, and schools of thought; disagreement over questions of values, ideology, and tactics is common.",As anarchism is a philosophy
"As counties were the basis of election districts, the result was a rural minority that dominated state politics through nearly three-quarters of the century, until a series of federal court cases required redistricting in 1972 to meet equal representation.",As counties were the basis
"As in the past, newspapers and journals are used, and anarchists have gone online in the World Wide Web to spread their message.","As in the past, newspapers"
"As part of settlement of this case, five Alabama cities and counties, including Chilton County, adopted a system of cumulative voting for election of representatives in multi-seat jurisdictions.",As part of settlement of
"As the 1856 elections approached, Lincoln joined the Republicans and attended the Bloomington Convention, which formally established the Illinois Republican Party.","As the 1856 elections approached,"
"As the Slave Power tightened its grip on the national government, most Republicans agreed with Lincoln that the North was the aggrieved party.",As the Slave Power tightened
"As the battle turns against the Greeks, thanks to the influence of Zeus, Nestor declares that the Trojans are winning because Agamemnon has angered Achilles, and urges the king to appease the warrior.",As the battle turns against
"As with the two previous ceremonies, there was no host.",As with the two previous
"At some point in the war, Achilles and Ajax were playing a board game (petteia).",At some point in the
"At that time, Alabama and many other states had to change their legislative districting, as many across the country had systems that underrepresented urban areas and districts.","At that time, Alabama and"
"At the 29th ceremony, held in 1957, the Best Foreign Language Film category, now known as Best International Feature Film, was introduced.","At the 29th ceremony, held"
"At the 45th Academy Awards ceremony, Brando asked actress and civil rights activist Sacheen Littlefeather to read a 15-page speech in his place, detailing his criticisms, for which there was booing and cheering by the audience.",At the 45th Academy Awards
"At the age of seventeen or eighteen, Aristotle moved to Athens to continue his education at Plato's Academy.",At the age of seventeen
"At the end of the Roman Empire (5th century AD), several variants of the cursive minuscule developed through Western Europe.",At the end of the
"At the onset of his duel with Hector, Achilles is referred to as the brightest star in the sky, which comes on in the autumn, Orion's dog (Sirius); a sign of evil.",At the onset of his
"At the same time, many rural people migrated to the city of Birmingham to work in new industrial jobs.","At the same time, many"
At the scale of the wavelength of light even wavy water is always smooth so the light is reflected in a locally specular manner (not diffusely).,At the scale of the
"At times, the Best Original Score award has also been split into separate categories (Drama and Comedy/Musical).","At times, the Best Original"
"At various times, he owned farms, livestock, and town lots, paid taxes, sat on juries, appraised estates, and served on county patrols.","At various times, he owned"
"Atkins, Leah Rawls, Wayne Flynt, William Warren Rogers, and David Ward.","Atkins, Leah Rawls, Wayne Flynt,"
Attempts at compromise followed but Lincoln and the Republicans rejected the proposed Crittenden Compromise as contrary to the Party's platform of free-soil in the territories.,Attempts at compromise followed but
Automakers accounted for approximately a third of the industrial expansion in the state in 2012.,Automakers accounted for approximately a
"Awards in short film categories (Best Documentary Short Subject, Best Animated Short Film, and Best Live Action Short Film) have noticeably different eligibility rules from most other competitive awards.",Awards in short film categories
"Background
Although the story is likely apocryphal, Gershwin is said to have been attracted by Maurice Ravel's unusual chords, and Gershwin went on his first trip to Paris in 1926 ready to study with Ravel.",Background Although the story is
"Barry Schwartz wrote in 2009 that Lincoln's image suffered ""erosion, fading prestige, benign ridicule"" in the late 20th century.",Barry Schwartz wrote in 2009
"Because Aristotle believes people receive all kinds of sense perceptions and perceive them as impressions, people are continually weaving together new impressions of experiences.",Because Aristotle believes people receive
"Before Mississippi's admission to statehood on December 10, 1817, the more sparsely settled eastern half of the territory was separated and named the Alabama Territory.",Before Mississippi's admission to statehood
"Before the creation of towns and cities, established authority did not exist.",Before the creation of towns
"Beginning in 1913, the first 80 Rosenwald Schools were built in Alabama for African American children.","Beginning in 1913, the first"
"Beginning in the 1960s, the state's economy shifted away from its traditional lumber, steel, and textile industries because of increased foreign competition.","Beginning in the 1960s, the"
