original_sentence,microsoft-phi-2
A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?,"A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?

Solution:
20 packets of 100 grams of sugar is equal to 20 x 100 = 2000 grams of sugar.
To convert grams to kilograms, we divide by 1000.
So, the store sells 2000/1000 = 2 kilograms of sugar every week.
"
"Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?","Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?

Solution: 
Step 1: We know that Kris is 24 years old now.
Step 2: According to the question, Herbert is 10 years younger than Kris. So, Herbert's age is 24 - 10 = 14 years old.
Step 3: To find out how old Herbert will be next year, we need to add 1 to his current age. Therefore, Herbert will be 14 + 1 = 15 years old next year.
"
"Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?","Susie has $200 in her piggy bank. If she puts 20% more money into her piggy bank, how much money she will have?
    """"""
    money_in_bank = 200
    percentage_increase = 0.20
    total_money = money_in_bank + (money_in_bank * percentage_increase)
    result = total_money

    return result
"
John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year?,"John volunteers at a shelter twice a month for 3 hours at a time.  How many hours does he volunteer per year?
    '''
    weeks_per_year = 52
    hours_per_week = 2
    hours_per_month = 3
    
    total_hours = weeks_per_year * hours_per_week + (weeks_per_year // 4) * hours_per_month
    
    result = total_hours
    
    return result"
A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?,"A church has 120 members. 40% are adults. The rest are children. How many children more children are there than adults?

Solution:

To find the number of adults, we multiply the total number of members by the percentage of adults.
Number of adults = 120 * 0.40 = 48

To find the number of children, we subtract the number of adults from the total number of members.
Number of children = 120 - 48 = 72

To find the difference between the number of children and the number of adults, we subtract the number of adults from the number of children.
Difference = 72 - 48 = 24

Therefore, there are 24 more children than adults.
"
Oliver has 10 $20 and 3 $5 bills. William has 15 $10 and 4 $5 bills. How much more money does Oliver have than William?,"Oliver has 10 $20 and 3 $5 bills. William has 15 $10 and 4 $5 bills. How much more money does Oliver have than William?

Solution 10:
To find out how much more money Oliver has than William, we need to calculate the total amount of money each person has and then find the difference between the two totals.

First, let's calculate the total amount of money Oliver has:
Oliver has 10 $20 bills, so the total amount of money from these bills is 10 * 20 = $200.
He also has 3 $5 bills, so the total amount of money from these bills is 3 * 5 = $15.
Therefore, the total amount of money Oliver has is $200 + $15 = $215.

Now, let's calculate the total amount of money William has:
William has 15 $10 bills, so the total amount of money from these bills is 15 * 10 = $150.
He also has 4 $5 bills, so the total amount of money from these bills is 4 * 5 = $20.
Therefore, the total amount of money William has is $150 + $20 = $170.

To find the difference between how"
"Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?","Riku has 25 times more stickers than Kristoff. If Kristoff has 85 stickers, how many stickers does Riku have?

Solution:
Let's assume the number of stickers Riku has is R.
According to the given information, Riku has 25 times more stickers than Kristoff. So, we can write the equation:
R = 25 * 85
Simplifying the equation, we have:
R = 2125
Therefore, Riku has 2125 stickers.
"
"Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?","Farmer Brown raises emus, large birds. His flock has a total of 60 heads and legs. How many emus are in his flock?

To solve this problem, we can use a system of equations. Let 'x' represent the number of emus. From the problem, we know that each emu has two legs, so the total number of legs would be 2x. Additionally, we know that there are 60 heads and legs in total, so the total number of heads and legs can be represented as 2x + 60.

Setting up the equation:
2x + 60 = 60

To solve for 'x', we can subtract 60 from both sides of the equation:
2x = 0

Dividing both sides of the equation by 2, we find:
x = 0

Therefore, Farmer Brown does not have any emus in his flock.

Example 2:
A group of friends, Sarah, Emily, and Rachel, decide to go on a road trip. They rent a car that can travel 300 miles on a full tank of gas. If Sarah drives at an average speed of 60 miles per hour, Emily drives at an average speed of 50 miles per"
"Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have?","Hash has nine more than half as many toys as Bill has. If Bill has 60 toys, how many total toys do the boys have?

Solution:
Let's start by finding out how many toys Hash has. Since Hash has nine more than half as many toys as Bill, we can calculate it by dividing Bill's number of toys by 2 and then adding 9.

Hash's number of toys = (1/2) * Bill's number of toys + 9
Hash's number of toys = (1/2) * 60 + 9
Hash's number of toys = 30 + 9
Hash's number of toys = 39

Now, to find out how many total toys the boys have, we need to add Bill's and Hash's number of toys.

Total number of toys = Bill's number of toys + Hash's number of toys
Total number of toys = 60 + 39
Total number of toys = 99

Therefore, the boys have a total of 99 toys.
"
The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?,"The selling price of a bicycle that had sold for $220 last year was increased by 15%. What is the new price?

Solution:
Step 1: Calculate the amount of increase
Increase = 15% of $220 = 0.15 * $220 = $33

Step 2: Calculate the new price
New price = Selling price last year + Increase = $220 + $33 = $253

Therefore, the new price of the bicycle is $253.
"
"If Stu has 9 books and Albert has 4 times as many books as Stu, how many books do Stu and Albert have in total?","If Stu has 9 books and Albert has 4 times as many books as Stu, how many books do Stu and Albert have in total?
    """"""
    stu_books = 9 # Stu has 9 books
    albert_books = stu_books * 4 # Albert has 4 times as many books as Stu
    total_books = stu_books + albert_books # Stu and Albert have this many books in total
    result = total_books # Albert has 36 books

    return result
"
"Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?","Patrick is half the age of his elder brother Robert. If Robert will turn 30 after 2 years, how old is Patrick now?

Complete detailed textbook-level solutions
Let's represent Robert's current age as R and Patrick's current age as P.
According to the given information, we know that:
P = R/2          (Patrick is half the age of Robert)
After 2 years, Robert's age will be R + 2.
According to the given information, we also know that:
R + 2 = 30      (Robert will turn 30 after 2 years)
Substituting the value of R + 2 from the second equation into the first equation, we get:
P = (30 - 2)/2 = 28/2 = 14
Therefore, Patrick is currently 14 years old.
"
"Eustace is twice as old as Milford. In 3 years, he will be 39. How old will Milford be?","Eustace is twice as old as Milford. In 3 years, he will be 39. How old will Milford be?

Solution:
Let's assume Milford's age is x.
According to the given information, Eustace is twice as old as Milford, so Eustace's age is 2x.
In 3 years, Eustace will be 39, so his current age is 39 - 3 = 36.
Since Eustace is twice as old as Milford, we can write the equation: 2x = 36.
Solving this equation, we find x = 18.
Therefore, Milford will be 18 years old in 3 years.
"
"Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?","Cori is 3 years old today.  In 5 years, she will be one-third the age of her aunt.  How old is her aunt today?
    """"""
    cori_age = 3
    cori_age_plus_five = cori_age + 5
    aunt_age_plus_five = cori_age_plus_five * 3
    aunt_age = aunt_age_plus_five - 5
    result = aunt_age

    return result
"
"The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?","The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?

Solution:
Perimeter of a triangle = sum of all three sides
Let the length of the third side be x cm
Therefore, 40 + 50 + x = 160
Simplifying, we get
x = 90
Therefore, the length of the third side is 90 cm.
"
Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?,"Salvadore earned $1956. Santo earned half of what Salvadore earned. How much money did the two men earn together?
<|question_end|>Answer: $2578
"
James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?,"James drives 30 mph for half an hour and then twice as long for twice the speed.  How far did he drive in total?
    """"""
    distance_1 = 30 * 0.5
    distance_2 = (30 * 2) * 0.5
    total_distance = distance_1 + distance_2
    result = total_distance

    return result
"
"Jessica is six years older than Claire. In two years, Claire will be 20 years old. How old is Jessica now?","Jessica is six years older than Claire. In two years, Claire will be 20 years old. How old is Jessica now?

Solution:
Let's assume Claire's current age is C.
According to the given information, Jessica is six years older than Claire. So, Jessica's current age is C + 6.
In two years, Claire will be 20 years old. So, her age after two years will be C + 2.
Setting up an equation, we have: C + 2 = 20.
Solving this equation, we find:
C = 20 - 2
C = 18
Therefore, Claire's current age is 18.
Jessica's current age is C + 6 = 18 + 6 = 24.
Hence, Jessica is 24 years old now.
"
Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?,"Tim buys 3 dozen eggs.  Eggs cost $.50 each.  How much did he pay for eggs?
    """"""
    dozen = 12
    price_egg = 0.50
    num_dozen = 3
    
    total_cost = price_egg * dozen * num_dozen 
    
    result = total_cost

    return result
"
A luxury bag costs $3000. A reseller wants to get a 15% profit. How much should she sell the bag?,"A luxury bag costs $3000. A reseller wants to get a 15% profit. How much should she sell the bag?

Solution:
Step 1: Calculate the profit amount.
Profit = 15% of $3000 = $450

Step 2: Add the profit to the original cost to find the selling price.
Selling price = $3000 + $450 = $3450

Therefore, the reseller should sell the bag for $3450.

Complete detailed textbook-level solutions
"
A package of candy has 3 servings with 120 calories each.  John eats half the package.  How many calories did he eat?,"A package of candy has 3 servings with 120 calories each.  John eats half the package.  How many calories did he eat?
    """"""
    servings_per_package = 3
    calories_per_serving = 120
    total_calories = servings_per_package * calories_per_serving
    john_calories = total_calories / 2
    result = john_calories

    return result
"
"Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?","Diane bought twenty more apples than Cecile. If Cecile bought 15 apples, how many apples did they buy altogether?

Solution 10:
Let's denote the number of apples bought by Diane as D.
Given that Diane bought twenty more apples than Cecile, we can write the equation: D = 15 + 20.
Simplifying the equation, we have D = 35.
Therefore, the total number of apples bought by Diane and Cecile is D + 15 = 35 + 15 = 50.
"
"In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now?","In ten years, I'll be twice my brother's age. The sum of our ages will then be 45 years old. How old am I now?

Solution:
Let's assume I am x years old now. 
In ten years, I will be x + 10 years old.
According to the given information, in ten years, I will be twice my brother's age, so my brother will be (x + 10) / 2 years old. 
The sum of our ages in ten years will be (x + 10) + (x + 10) / 2 = 45.
Simplifying the equation, we have 2x + 20 + x + 10 = 90.
Combining like terms, we get 3x + 30 = 90.
Subtracting 30 from both sides, we have 3x = 60.
Dividing both sides by 3, we find x = 20.
Therefore, I am 20 years old now.
"
Ivan has 20 dice. Jerry has twice as many dice as Ivan. How many dice do they have altogether?,"Ivan has 20 dice. Jerry has twice as many dice as Ivan. How many dice do they have altogether?

Solution:
Let's start by finding out how many dice Jerry has. We know that Jerry has twice as many dice as Ivan, so if Ivan has 20 dice, then Jerry has 2 * 20 = 40 dice.

Now, to find out the total number of dice they have altogether, we can simply add the number of dice Ivan has to the number of dice Jerry has. Therefore, Ivan and Jerry have 20 + 40 = 60 dice altogether.

Answer: Ivan and Jerry have 60 dice altogether.
"
Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?,"Zhang is twice as old as Li.  Li is 12 years old.  Zhang's brother Jung is 2 years older than Zhang.  How old is Jung?
    '''
    age_Li = 12
    age_Zhang = age_Li * 2
    age_Jung = age_Zhang + 2
    result = age_Jung
    return result"
"A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?","A chair costs 1/7 of the cost of a table. If a table costs $140, how much will it cost to buy a table and 4 chairs?

Solution:
Let's first find the cost of one chair. We know that the cost of a chair is 1/7 of the cost of a table, so we can set up the equation:

Cost of one chair = (1/7) * Cost of one table

Substituting the given value of the cost of one table ($140), we have:

Cost of one chair = (1/7) * $140
                = $20

Now, we need to find the total cost of buying a table and 4 chairs. We add the cost of one table to the cost of 4 chairs:

Total cost = Cost of one table + (4 * Cost of one chair)
           = $140 + (4 * $20)
           = $140 + $80
           = $220

Therefore,"
Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be?,"Jacob is 24 years now. His brother Tony is half Jacob's age. In 6 years how old will tony be?

Solution:
Let's first find out how old Jacob is now.
Jacob's age = 24 years
Tony's age = Jacob's age / 2 = 24 years / 2 = 12 years

In 6 years, Tony's age will be:
Tony's age in 6 years = Tony's age now + 6 years
= 12 years + 6 years
= 18 years

Therefore, in 6 years, Tony will be 18 years old.

"
"The city’s bus system carries 1,200,000 people each day. How many people does the bus system carry for 13 weeks?","The city’s bus system carries 1,200,000 people each day. How many people does the bus system carry for 13 weeks?

Solution:
To find the total number of people the bus system carries in 13 weeks, we need to multiply the number of people it carries each day by the number of days in 13 weeks.

Step 1: Calculate the number of people the bus system carries in a week.
Since the bus system carries 1,200,000 people each day, it carries 1,200,000 * 7 = 8,400,000 people in a week.

Step 2: Calculate the number of people the bus system carries in 13 weeks.
To find the total number of people, we multiply the number of people the bus system carries in a week by the number of weeks.
8,400,000 * 13 = 108,480,000 people

Therefore, the bus system carries 108,480,000 people for 13 weeks.
"
"Zig wrote four times as many books as Flo. If Zig wrote 60 books, how many books did they write altogether?","Zig wrote four times as many books as Flo. If Zig wrote 60 books, how many books did they write altogether?

Solution:
Let's assume that Flo wrote x books. 
According to the question, Zig wrote four times as many books as Flo, so Zig wrote 4x books. 
Given that Zig wrote 60 books, we can set up the equation: 
4x = 60 
To solve for x, we divide both sides of the equation by 4: 
x = 15 
Therefore, Flo wrote 15 books. 
To find the total number of books they wrote altogether, we add Zig's and Flo's books: 
Total = Zig's books + Flo's books 
Total = 4x + x = 5x 
Total = 5 * 15 = 75 
Therefore, they wrote 75 books altogether. 
"
"There are 30 different nuts in a bowl. If 5/6 of the nuts were eaten, how many nuts were left?","There are 30 different nuts in a bowl. If 5/6 of the nuts were eaten, how many nuts were left?

Solution 3:
To find the number of nuts left, we need to subtract the number of nuts eaten from the total number of nuts.

Given that there are 30 nuts in the bowl and 5/6 of them were eaten, we can calculate the number of nuts eaten as 30 * 5/6 = 25 nuts.

To find the number of nuts left, we subtract the number of nuts eaten from the total number of nuts: 30 - 25 = 5 nuts.

Therefore, there are 5 nuts left.
"
"Jackson has 5 times more money than Williams. Together, they have $150. How much money, in dollars, does Jackson have?","Jackson has 5 times more money than Williams. Together, they have $150. How much money, in dollars, does Jackson have?
<|question_end|>Answer: Let x be the amount of money Williams has.
Jackson has 5x dollars.
The equation for the problem is: x + 5x = 150
Combining like terms, we get: 6x = 150
Dividing both sides by 6, we get: x = 25
Therefore, Williams has $25 and Jackson has 5(25) = $125.
"
Bart buys $10 of notepads for $1.25 each.  They have 60 pages each.  How many pages did he buy?,"Bart buys $10 of notepads for $1.25 each.  They have 60 pages each.  How many pages did he buy?
    '''
    price_per_notepad = 1.25
    total_spent = 10
    notepad_count = total_spent / price_per_notepad
    pages_per_notepad = 60
    total_pages = notepad_count * pages_per_notepad
    result = total_pages
    return result"
Trent caught 180 tadpoles then let 75% of them go. How many did he keep?,"Trent caught 180 tadpoles then let 75% of them go. How many did he keep?

Solution 7:
To find out how many tadpoles Trent kept, we need to find 25% of 180 and subtract it from 180.
Step 1: Calculate 25% of 180 by multiplying 180 by 0.25.
25% of 180 = 180 * 0.25 = 45
Step 2: Subtract the result from 180.
Trent kept 180 - 45 = 135 tadpoles.
"
"Edric's monthly salary is $576. If he works 8 hours a day for 6 days a week, how much is his hourly rate?","Edric's monthly salary is $576. If he works 8 hours a day for 6 days a week, how much is his hourly rate?

Solution 4:
To find Eric's hourly rate, we need to calculate his weekly salary and then divide it by the total number of hours he works in a week.

First, we calculate Eric's weekly salary:
$576/month ÷ 4 weeks/month = $144/week

Next, we calculate the total number of hours Eric works in a week:
8 hours/day × 6 days/week = 48 hours/week

Finally, we divide Eric's weekly salary by the total number of hours he works to find his hourly rate:
$144/week ÷ 48 hours/week = $3/hour

Therefore, Eric's hourly rate is $3.
"
"On a 16 GB (gigabyte) capacity USB drive, 50% is already busy. Calculate the number of gigabytes still available.","On a 16 GB (gigabyte) capacity USB drive, 50% is already busy. Calculate the number of gigabytes still available.

**Answer with intermediate steps:**
Step 1: 50% of 16 GB = 0.5 * 16 = 8 GB
Step 2: Subtract the used space from the total capacity: 16 - 8 = 8 GB

**Exercise 2:**
A cloud server has a total capacity of 10 terabytes (TB). It is currently using 7.5 TB. Calculate the percentage of usage.

**Answer with intermediate steps:**
Step 1: 7.5 TB is the used capacity.
Step 2: Divide the used capacity by the total capacity: 7.5 / 10 = 0.75
Step 3: Multiply by 100 to get the percentage: 0.75 * 100 = 75%

**Exercise 3:**
A USB drive has a total capacity of 32 GB. It is used to store a video file of size 12 GB. Calculate the percentage of the drive's capacity used.

**Answer with intermediate steps:**
Step 1: 12 GB is the used capacity.
Step 2:"
Kim buys 3 pizzas.  They are 12 slices each.  The pizza cost $72.  How much did 5 slices cost?,"Kim buys 3 pizzas.  They are 12 slices each.  The pizza cost $72.  How much did 5 slices cost?
    """"""
    pizzas = 3
    slices = 12
    total_slices = pizzas * slices
    pizza_price = 72
    cost_per_slice = pizza_price / total_slices
    cost_of_5_slices = cost_per_slice * 5
    result = cost_of_5_slices

    return result
"
"A pool has 48 blue tiles and 32 red tiles. If the pool needs 100 tiles to be completed, how many more tiles are needed?","A pool has 48 blue tiles and 32 red tiles. If the pool needs 100 tiles to be completed, how many more tiles are needed?

Solution 7:
To find the number of additional tiles needed, we need to subtract the number of tiles already placed from the total number of tiles required.

Total number of tiles required: 100
Number of blue tiles already placed: 48
Number of red tiles already placed: 32

Total number of tiles already placed: 48 + 32 = 80

Number of additional tiles needed: 100 - 80 = 20

Therefore, 20 more tiles are needed to complete the pool.
"
John eats a bag of chips for dinner and then eats twice as many after dinner.  How many bags of chips did he eat?,"John eats a bag of chips for dinner and then eats twice as many after dinner.  How many bags of chips did he eat?
    """"""
    bags_of_chips = 1
    bags_of_chips = bags_of_chips + bags_of_chips
    result = bags_of_chips

    return result
"
Jenny had $24 left after spending 3/7 of her money. How much is half of her original amount of money?,"Jenny had $24 left after spending 3/7 of her money. How much is half of her original amount of money?

Solution:
If Jenny spent 3/7 of her money, then she has 4/7 left. We can set up an equation to solve for her original amount of money:

4/7 * x = 24

To solve for x, we can multiply both sides by 7/4:

x = 24 * 7/4 = 42

So, Jenny's original amount of money was $42. Half of her original amount of money is:

1/2 * 42 = 21
"
"Jed is 10 years older than Matt. In 10 years, Jed will be 25 years old. What is the sum of their present ages?","Jed is 10 years older than Matt. In 10 years, Jed will be 25 years old. What is the sum of their present ages?

Solution 2:
Let's call Jed's present age as J and Matt's present age as M.
According to the problem, Jed is 10 years older than Matt, so we can write the equation J = M + 10.
In 10 years, Jed will be 25 years old, so we can write the equation J + 10 = 25.

Now, we can substitute the value of J from the first equation into the second equation.
(M + 10) + 10 = 25
M + 20 = 25
M = 25 - 20
M = 5

Substituting the value of M into the first equation, we can find the value of J.
J = 5 + 10
J = 15

The sum of their present ages is J + M = 15 + 5 = 20.

Answer: The sum of their present ages is 20.
"
"Anya has 4 times as many erasers as Andrea. If Andrea has 4 erasers, how many more erasers does Anya have than Andrea?","Anya has 4 times as many erasers as Andrea. If Andrea has 4 erasers, how many more erasers does Anya have than Andrea?

Solution:
Anya has 4 times as many erasers as Andrea, so Anya has 4 * 4 = 16 erasers.
The difference between the number of erasers Anya has and the number of erasers Andrea has is 16 - 4 = 12 erasers.
Therefore, Anya has 12 more erasers than Andrea.
"
Jamal bought 4 half dozen colored crayons at $2 per crayon. What was the total cost of the crayons that she bought?,"Jamal bought 4 half dozen colored crayons at $2 per crayon. What was the total cost of the crayons that she bought?

Solution:
A half dozen is equal to 6 crayons.
So 4 half dozen colored crayons is equal to 4 x 6 = 24 crayons.
The cost of each crayon is $2, so the total cost of the crayons is 24 x $2 = $48.
Therefore, the total cost of the crayons that Jamal bought was $48.
"
The length of a rectangle is four times its width. If the area is 100 m2. what is the length of the rectangle?,"The length of a rectangle is four times its width. If the area is 100 m2. what is the length of the rectangle?

Solution:
Let the width of the rectangle be x.
Then the length of the rectangle is 4x.
The area of a rectangle is given by the formula A=lw, where A is the area, l is the length, and w is the width.
Substituting the given values, we get 100=4x*x.
Simplifying, we get x=5.
Therefore, the length of the rectangle is 4x=20 m.
"
Yuan is 7 years older than his brother David and twice his age. How old is David?,"Yuan is 7 years older than his brother David and twice his age. How old is David?

Solution to Question 9:
Let's assume David's age to be x.
According to the given information, Yuan is 7 years older than David, so Yuan's age would be x + 7.
It is also given that Yuan is twice David's age, so we can set up the equation: x + 7 = 2x.
Simplifying the equation, we get: x = 7.
Therefore, David is 7 years old.
"
James takes 20 units per semester at community college.  If each unit costs $50 how much does he pay for 2 semesters?,"James takes 20 units per semester at community college.  If each unit costs $50 how much does he pay for 2 semesters?
    '''
    units_per_semester = 20
    cost_per_unit = 50
    semesters = 2
    total_units = units_per_semester * semesters
    total_cost = total_units * cost_per_unit
    result = total_cost
    return result
"
"If a solver flips a coin 211 times and gets a head on 65 of the flips, how many more tails than heads did he get?","If a solver flips a coin 211 times and gets a head on 65 of the flips, how many more tails than heads did he get?
    """"""
    total_flips = 211
    heads = 65
    tails = total_flips - heads
    result = tails - heads

    return result
"
Winston has 14 quarters. He then spends half a dollar on candy. How many cents does he have left?,"Winston has 14 quarters. He then spends half a dollar on candy. How many cents does he have left?

Solution 3:
To find the total number of cents Winston has, we first need to convert the quarters into cents. Since there are 25 cents in a quarter, we multiply the number of quarters, which is 14, by 25.

14 quarters * 25 cents/quarter = 350 cents

Next, we subtract the cost of the candy, which is 50 cents, from the total number of cents.

350 cents - 50 cents = 300 cents

Therefore, Winston has 300 cents left.
"
John buys 1/2 gallon jugs of cold brew coffee every 4 days.  How many cups of coffee does he drink a day?,"John buys 1/2 gallon jugs of cold brew coffee every 4 days.  How many cups of coffee does he drink a day?
    """"""
    gallon_jug = 1/2
    days_between_purchase = 4
    cups_in_gallon = 16
    
    total_cups_per_day = gallon_jug * cups_in_gallon / days_between_purchase
    
    result = total_cups_per_day

    return result
"
Jon buys 2 coffees a day from his favorite coffee shop.  They cost $2 each.  How much does he spend in April?,"Jon buys 2 coffees a day from his favorite coffee shop.  They cost $2 each.  How much does he spend in April?
    """"""
    coffees_per_day = 2
    cost_per_coffee = 2
    days_in_April = 30
    total_coffees = coffees_per_day * days_in_April
    total_cost = total_coffees * cost_per_coffee
    result = total_cost

    return result
"
Janet makes 50 snowballs and her brother makes 150 snowballs. What percentage of the snowballs did Janet make?,"Janet makes 50 snowballs and her brother makes 150 snowballs. What percentage of the snowballs did Janet make?
    """"""
    snowballs_janet = 50
    snowballs_brother = 150
    
    total_snowballs = snowballs_janet + snowballs_brother
    
    percentage_janet = (snowballs_janet / total_snowballs) * 100
    
    result = percentage_janet

    return result
"
Carter is twice as tall as his 24” tall dog.  Betty is 12” shorter than Carter.  How tall is Betty in feet?,"Carter is twice as tall as his 24” tall dog.  Betty is 12” shorter than Carter.  How tall is Betty in feet?
    """"""
    dog_height = 24
    carter_height = dog_height * 2
    betty_height = carter_height - 12
    result = betty_height / 12

    return result
"
